"","MDA"
"DRAIN_SQKM",8.76908278570829e-05
"PPTAVG_SITE",0.000176496515655196
"RH_SITE",3.05392303476187e-05
"SNOW_PCT_PRECIP",0.00139727527419627
"PRECIP_SEAS_IND",0.00503400955809454
"OCT_PPT7100_CM",0.000100031161987715
"OCT_TMP7100_DEGC",6.55193287863216e-05
"BFI_AVE",0.000447843163266071
"STOR_NID_2009",6.95477296077358e-06
"FORESTNLCD06",4.83746760704223e-05
"PLANTNLCD06",0.000123863767872439
"WETLANDSNLCD06",8.9304393032475e-05
"MAINS100_FOREST",1.79868516792832e-05
"IMPNLCD06",6.92231418570089e-05
"AWCAVE",3.78686837417556e-05
"PERMAVE",4.66560321513515e-05
"WTDEPAVE",0.000372262978599665
"ROCKDEPAVE",6.90471833421307e-05
"ELEV_MEAN_M_BASIN",0.000316809682471228
"SLOPE_PCT",0.000965730144481289
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0.00011943746125507
"Q_val",0.000195910580191102
