"","MDA"
"DRAIN_SQKM",0.000276363269714439
"PPTAVG_SITE",0.000554616028570134
"RH_SITE",1.68860958156415e-06
"SNOW_PCT_PRECIP",7.19305534413803e-05
"PRECIP_SEAS_IND",0.000776696843436785
"SEP_PPT7100_CM",0.000125459991344331
"SEP_TMP7100_DEGC",1.15588117100556e-05
"BFI_AVE",0.00084170615948318
"STOR_NID_2009",4.64679239081142e-05
"FORESTNLCD06",0
"PLANTNLCD06",2.29159906283813e-05
"WETLANDSNLCD06",0
"MAINS100_FOREST",0
"IMPNLCD06",0
"AWCAVE",3.35012223765415e-05
"PERMAVE",1.77200305236715e-05
"WTDEPAVE",0.000376215187198288
"ROCKDEPAVE",5.01320575440062e-05
"ELEV_MEAN_M_BASIN",3.53341953672113e-05
"SLOPE_PCT",8.27286505963167e-05
"ASPECT_NORTHNESS",1.08599602288298e-05
"ASPECT_EASTNESS",6.56574166123068e-05
"Q_val",2.4725526000285e-05
