"","MDA"
"DRAIN_SQKM",0
"PPTAVG_SITE",0
"RH_SITE",0.00110276814418221
"SNOW_PCT_PRECIP",2.15327890711521
"PRECIP_SEAS_IND",0
"DEC_PPT7100_CM",0
"DEC_TMP7100_DEGC",2.01046573984847
"BFI_AVE",0
"STOR_NID_2009",0
"FORESTNLCD06",0.827846931304515
"PLANTNLCD06",0.00820210916492362
"WETLANDSNLCD06",0.00137317697601877
"MAINS100_FOREST",0
"IMPNLCD06",0.171668266617429
"AWCAVE",0.000861709318984196
"PERMAVE",0
"WTDEPAVE",0.0137656902236219
"ROCKDEPAVE",0.0375215463248603
"ELEV_MEAN_M_BASIN",0.189154322506408
"SLOPE_PCT",0.0243866864515693
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0.000972845982142857
"Q_val",0.00206807725694444
