"","MDA"
"DRAIN_SQKM",0
"PPTAVG_SITE",0.000827734146062273
"RH_SITE",0.00140553711890266
"SNOW_PCT_PRECIP",3.06900255986685
"PRECIP_SEAS_IND",0
"JAN_PPT7100_CM",0
"JAN_TMP7100_DEGC",2.06804908262678
"BFI_AVE",0
"STOR_NID_2009",0
"FORESTNLCD06",0.95410085300498
"PLANTNLCD06",0.00245603532643572
"WETLANDSNLCD06",0
"MAINS100_FOREST",0.00186680585365156
"IMPNLCD06",0.32617682630035
"AWCAVE",0
"PERMAVE",0
"WTDEPAVE",0.00264886095556365
"ROCKDEPAVE",0.0255485902571478
"ELEV_MEAN_M_BASIN",0.242981015829803
"SLOPE_PCT",0.0388247581758291
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0
"Q_val",0
