"","MDA"
"DRAIN_SQKM",0
"PPTAVG_SITE",0.00240480788213267
"RH_SITE",0.073517856196321
"SNOW_PCT_PRECIP",0.863623330400907
"PRECIP_SEAS_IND",0
"JUN_PPT7100_CM",0.38663853133699
"JUN_TMP7100_DEGC",1.44257236659506
"BFI_AVE",0
"STOR_NID_2009",0.683045063276584
"FORESTNLCD06",0.199369738281329
"PLANTNLCD06",0
"WETLANDSNLCD06",0
"MAINS100_FOREST",0.331644310818969
"IMPNLCD06",0.0425955579413358
"AWCAVE",0
"PERMAVE",0.0185227542699271
"WTDEPAVE",0
"ROCKDEPAVE",0
"ELEV_MEAN_M_BASIN",1.38897719264722
"SLOPE_PCT",0.159774981480791
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0.0734370868565328
"Q_val",0.000330285714285711
