"","MDA"
"DRAIN_SQKM",0
"PPTAVG_SITE",0
"RH_SITE",0
"SNOW_PCT_PRECIP",7.31416084958751
"PRECIP_SEAS_IND",0
"MAR_PPT7100_CM",0
"MAR_TMP7100_DEGC",5.08566407745614
"BFI_AVE",0.000428522727272727
"STOR_NID_2009",0.0869601614073293
"FORESTNLCD06",1.75000986276641
"PLANTNLCD06",0.0100897601092484
"WETLANDSNLCD06",0
"MAINS100_FOREST",0.00527403459821428
"IMPNLCD06",0.567644768876668
"AWCAVE",0.00445473051955703
"PERMAVE",0
"WTDEPAVE",0.000253252435064935
"ROCKDEPAVE",0.0451801603429579
"ELEV_MEAN_M_BASIN",0.654982317558388
"SLOPE_PCT",0.129430961038764
"ASPECT_NORTHNESS",0.00658937528651153
"ASPECT_EASTNESS",0.00129974330357143
"Q_val",0
