"","MDA"
"DRAIN_SQKM",0
"PPTAVG_SITE",0.00772014780618686
"RH_SITE",0.00932740282568992
"SNOW_PCT_PRECIP",1.47599767066465
"PRECIP_SEAS_IND",0.0059099015404182
"MAY_PPT7100_CM",0
"MAY_TMP7100_DEGC",2.25478957988075
"BFI_AVE",0
"STOR_NID_2009",0.104617241438813
"FORESTNLCD06",0.505276029672006
"PLANTNLCD06",0
"WETLANDSNLCD06",0.0196166735044648
"MAINS100_FOREST",0.0116169682878136
"IMPNLCD06",0.0927998446083796
"AWCAVE",0
"PERMAVE",0.00345498376623378
"WTDEPAVE",0
"ROCKDEPAVE",0.0236555110427384
"ELEV_MEAN_M_BASIN",1.55834554992464
"SLOPE_PCT",0.170048370452585
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0.183412135413787
"Q_val",0
