"","MDA"
"DRAIN_SQKM",0.000710381625752716
"PPTAVG_SITE",0.00424538808816431
"RH_SITE",0
"SNOW_PCT_PRECIP",2.22373194125645
"PRECIP_SEAS_IND",3.65248325892837e-05
"OCT_PPT7100_CM",0.180447017960122
"OCT_TMP7100_DEGC",1.38928666069657
"BFI_AVE",0.00691473870454632
"STOR_NID_2009",0.059864798680907
"FORESTNLCD06",0.334096835845422
"PLANTNLCD06",0.0185252351236004
"WETLANDSNLCD06",0
"MAINS100_FOREST",0.0014259404451885
"IMPNLCD06",0.151259814273916
"AWCAVE",0.00239651785714286
"PERMAVE",0
"WTDEPAVE",0
"ROCKDEPAVE",0
"ELEV_MEAN_M_BASIN",0.104695055147391
"SLOPE_PCT",0.0359032490674987
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0
"Q_val",0.00116510713700363
