"","MDA"
"DRAIN_SQKM",0.00879850802812721
"PPTAVG_SITE",0
"RH_SITE",0.0345391141520159
"SNOW_PCT_PRECIP",0.631308437007131
"PRECIP_SEAS_IND",0.090761247759842
"FEB_PPT7100_CM",0.0207906515635336
"FEB_TMP7100_DEGC",2.35657586706475
"BFI_AVE",0.205416153258707
"STOR_NID_2009",0.0222899638216776
"FORESTNLCD06",0.0835203417856058
"PLANTNLCD06",4.20542279411773e-05
"WETLANDSNLCD06",0.243924401665105
"MAINS100_FOREST",0.00455186592715194
"IMPNLCD06",0.0289487482405842
"AWCAVE",0.0923605819951313
"PERMAVE",0.272040340464108
"WTDEPAVE",0.392510331294624
"ROCKDEPAVE",0
"ELEV_MEAN_M_BASIN",0.575908166123394
"SLOPE_PCT",0.00562480686524464
"ASPECT_NORTHNESS",0.000513963293726852
"ASPECT_EASTNESS",0.00407843012148436
"Q_val",0.00224991541179178
