"","MDA"
"DRAIN_SQKM",0.0099353863160994
"PPTAVG_SITE",0
"RH_SITE",0.37694079331359
"SNOW_PCT_PRECIP",0.118955831590462
"PRECIP_SEAS_IND",0.108878038065791
"NOV_PPT7100_CM",0.00086969304429768
"NOV_TMP7100_DEGC",1.43757874621344
"BFI_AVE",0.00237233042034558
"STOR_NID_2009",0
"FORESTNLCD06",0.000170290450305364
"PLANTNLCD06",6.82754629629634e-05
"WETLANDSNLCD06",0.315885484243275
"MAINS100_FOREST",0.00330381316814194
"IMPNLCD06",0
"AWCAVE",0.0175365303515553
"PERMAVE",0.217070563553532
"WTDEPAVE",0.07645019354749
"ROCKDEPAVE",0
"ELEV_MEAN_M_BASIN",0.380643929926402
"SLOPE_PCT",0.00367467017665468
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0
"Q_val",0
