"","MDA"
"DRAIN_SQKM",0.0275637559125759
"PPTAVG_SITE",0.168684307305878
"RH_SITE",0
"SNOW_PCT_PRECIP",1.94876774778958
"PRECIP_SEAS_IND",0
"AUG_PPT7100_CM",0.138555591552297
"AUG_TMP7100_DEGC",1.81029132512642
"BFI_AVE",0.295438886603864
"STOR_NID_2009",0.372487072808677
"FORESTNLCD06",0
"PLANTNLCD06",0.69251213089806
"WETLANDSNLCD06",0.051070376212899
"MAINS100_FOREST",0.0154225855054793
"IMPNLCD06",0.0359089746776539
"AWCAVE",0.00666843016594047
"PERMAVE",0.553043274920491
"WTDEPAVE",0.00218240230131982
"ROCKDEPAVE",0
"ELEV_MEAN_M_BASIN",0.052615237449656
"SLOPE_PCT",0
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0
"Q_val",0
