"","MDA"
"DRAIN_SQKM",0.0703837411921059
"PPTAVG_SITE",0.133810964752573
"RH_SITE",0
"SNOW_PCT_PRECIP",1.65444020633388
"PRECIP_SEAS_IND",0
"JUL_PPT7100_CM",0.0870439070567142
"JUL_TMP7100_DEGC",2.08844534813754
"BFI_AVE",0.164872194196018
"STOR_NID_2009",0.485584037582162
"FORESTNLCD06",0
"PLANTNLCD06",1.09362104051892
"WETLANDSNLCD06",0.0150488663058624
"MAINS100_FOREST",0.058269597172362
"IMPNLCD06",0.0630735104701757
"AWCAVE",0.00366327106679358
"PERMAVE",0.218865142022684
"WTDEPAVE",0.00115441849785791
"ROCKDEPAVE",0
"ELEV_MEAN_M_BASIN",0.0483673108750778
"SLOPE_PCT",0
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0
"Q_val",0.0435485942366769
