"","MDA"
"DRAIN_SQKM",0.00998988511244154
"PPTAVG_SITE",0.065707155766824
"RH_SITE",0
"SNOW_PCT_PRECIP",1.40702506957808
"PRECIP_SEAS_IND",0.0115946975436896
"MAY_PPT7100_CM",0.0857858408030314
"MAY_TMP7100_DEGC",3.3164116975737
"BFI_AVE",0.00784496571502047
"STOR_NID_2009",0.00855337164673974
"FORESTNLCD06",0.193207467380857
"PLANTNLCD06",0.275710275121521
"WETLANDSNLCD06",0.0400337488396896
"MAINS100_FOREST",0.284213325752474
"IMPNLCD06",0.13518762571095
"AWCAVE",0.00451861728419523
"PERMAVE",0.0016239264649837
"WTDEPAVE",0.0134202730666166
"ROCKDEPAVE",0
"ELEV_MEAN_M_BASIN",0.104512480526716
"SLOPE_PCT",0.634620746397812
"ASPECT_NORTHNESS",0.00490499184553872
"ASPECT_EASTNESS",0
"Q_val",0
