"","MDA"
"DRAIN_SQKM",0.0515821783224344
"PPTAVG_SITE",0.265875572026465
"RH_SITE",0
"SNOW_PCT_PRECIP",2.13192570001266
"PRECIP_SEAS_IND",0.0179142658752672
"SEP_PPT7100_CM",0.10134119187672
"SEP_TMP7100_DEGC",0.765158926997355
"BFI_AVE",0.130163660061179
"STOR_NID_2009",0
"FORESTNLCD06",0.00523934755398954
"PLANTNLCD06",0.501848873176367
"WETLANDSNLCD06",0.0491044101977821
"MAINS100_FOREST",0.0478702982466201
"IMPNLCD06",0
"AWCAVE",0
"PERMAVE",0.880049647277076
"WTDEPAVE",0.000521164252662015
"ROCKDEPAVE",0
"ELEV_MEAN_M_BASIN",0.0390169006474185
"SLOPE_PCT",0.00353743840321319
"ASPECT_NORTHNESS",0.0339089904883011
"ASPECT_EASTNESS",0.00562029803232984
"Q_val",0
