"","MDA"
"DRAIN_SQKM",0
"PPTAVG_SITE",0
"RH_SITE",0
"SNOW_PCT_PRECIP",0.00818388824339476
"PRECIP_SEAS_IND",1.06766131067583e-06
"FEB_PPT7100_CM",0
"FEB_TMP7100_DEGC",0.00469874838972034
"BFI_AVE",9.98004637857222e-07
"STOR_NID_2009",0.000120483409135388
"FORESTNLCD06",0.00167874905417846
"PLANTNLCD06",0
"WETLANDSNLCD06",0
"MAINS100_FOREST",0
"IMPNLCD06",0.00151572181898046
"AWCAVE",0
"PERMAVE",0
"WTDEPAVE",0
"ROCKDEPAVE",7.14942622350858e-05
"ELEV_MEAN_M_BASIN",0.00106931325074263
"SLOPE_PCT",6.96522427785771e-05
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",1.80145138802982e-06
"Q_val",0
