"","MDA"
"DRAIN_SQKM",0
"PPTAVG_SITE",0
"RH_SITE",0
"SNOW_PCT_PRECIP",0.00802268882548287
"PRECIP_SEAS_IND",0
"JAN_PPT7100_CM",0
"JAN_TMP7100_DEGC",0.00428591393973442
"BFI_AVE",2.04494482375329e-05
"STOR_NID_2009",6.84562086841745e-05
"FORESTNLCD06",0.00167448766735466
"PLANTNLCD06",1.51868229998788e-05
"WETLANDSNLCD06",0
"MAINS100_FOREST",0
"IMPNLCD06",0.00137157854891862
"AWCAVE",0
"PERMAVE",0
"WTDEPAVE",0
"ROCKDEPAVE",0.000110536885820205
"ELEV_MEAN_M_BASIN",0.00082417878589197
"SLOPE_PCT",0.000109662702152366
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0
"Q_val",9.77060660338766e-06
