"","MDA"
"DRAIN_SQKM",0
"PPTAVG_SITE",0
"RH_SITE",0
"SNOW_PCT_PRECIP",5.24399738310016e-05
"PRECIP_SEAS_IND",0
"JUL_PPT7100_CM",0
"JUL_TMP7100_DEGC",8.98390448874825e-05
"BFI_AVE",0
"STOR_NID_2009",0.00794499514349683
"FORESTNLCD06",1.45729664823985e-06
"PLANTNLCD06",0
"WETLANDSNLCD06",0
"MAINS100_FOREST",0
"IMPNLCD06",0.000772455953118365
"AWCAVE",4.91741489359454e-06
"PERMAVE",0.000237520537483151
"WTDEPAVE",0
"ROCKDEPAVE",2.57801228527843e-05
"ELEV_MEAN_M_BASIN",0.00052554334860422
"SLOPE_PCT",0
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0
"Q_val",0
