"","MDA"
"DRAIN_SQKM",2.41057458280857e-05
"PPTAVG_SITE",0
"RH_SITE",0.000237976039545375
"SNOW_PCT_PRECIP",0
"PRECIP_SEAS_IND",0
"MAY_PPT7100_CM",1.68944867353587e-05
"MAY_TMP7100_DEGC",0
"BFI_AVE",0
"STOR_NID_2009",0.00246899307814139
"FORESTNLCD06",0
"PLANTNLCD06",0
"WETLANDSNLCD06",2.01768318908067e-05
"MAINS100_FOREST",0
"IMPNLCD06",1.31733083815295e-05
"AWCAVE",0
"PERMAVE",0
"WTDEPAVE",0
"ROCKDEPAVE",0
"ELEV_MEAN_M_BASIN",0
"SLOPE_PCT",0
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0.000116560854639358
"Q_val",0
