"","MDA"
"DRAIN_SQKM",1.04041368186688e-06
"PPTAVG_SITE",1.95034917667125e-06
"RH_SITE",7.05777416787794e-06
"SNOW_PCT_PRECIP",2.56388856456782e-05
"PRECIP_SEAS_IND",0.000205801534580923
"NOV_PPT7100_CM",1.36128528727628e-05
"NOV_TMP7100_DEGC",0.00014196017646471
"BFI_AVE",0
"STOR_NID_2009",0.0017734512362312
"FORESTNLCD06",5.79490255786388e-05
"PLANTNLCD06",7.53496903373957e-07
"WETLANDSNLCD06",4.906335044257e-05
"MAINS100_FOREST",0
"IMPNLCD06",0.000567312825932609
"AWCAVE",0.000184542139092653
"PERMAVE",0
"WTDEPAVE",0
"ROCKDEPAVE",2.79429024912915e-05
"ELEV_MEAN_M_BASIN",0.00212186798781046
"SLOPE_PCT",0.000144496266745623
"ASPECT_NORTHNESS",3.6597503620197e-08
"ASPECT_EASTNESS",1.87842413007679e-05
"Q_val",4.5906287824694e-07
