"","MDA"
"DRAIN_SQKM",0.00116562393275014
"PPTAVG_SITE",0
"RH_SITE",3.42695275916953e-07
"SNOW_PCT_PRECIP",8.76181873036884e-06
"PRECIP_SEAS_IND",0.000123842510865819
"APR_PPT7100_CM",0
"APR_TMP7100_DEGC",1.30272470634324e-05
"BFI_AVE",0
"STOR_NID_2009",0.000849357311894683
"FORESTNLCD06",0
"PLANTNLCD06",2.97660933337136e-05
"WETLANDSNLCD06",1.98361789570136e-07
"MAINS100_FOREST",0
"IMPNLCD06",6.03591057049393e-06
"AWCAVE",0
"PERMAVE",2.12823422450435e-05
"WTDEPAVE",4.73285979088109e-07
"ROCKDEPAVE",5.5198354239689e-05
"ELEV_MEAN_M_BASIN",0
"SLOPE_PCT",2.01577675765119e-07
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0
"Q_val",0.00158475950320186
