"","MDA"
"DRAIN_SQKM",2.01413097631017e-05
"PPTAVG_SITE",0.000305872465353092
"RH_SITE",0
"SNOW_PCT_PRECIP",1.94267935738611e-05
"PRECIP_SEAS_IND",0
"AUG_PPT7100_CM",0
"AUG_TMP7100_DEGC",0.000221007743773717
"BFI_AVE",0.000114633005176348
"STOR_NID_2009",0
"FORESTNLCD06",3.93282216539998e-05
"PLANTNLCD06",0
"WETLANDSNLCD06",0.000497974987861888
"MAINS100_FOREST",0
"IMPNLCD06",2.8391749412759e-05
"AWCAVE",4.80389549424058e-06
"PERMAVE",6.32104506082283e-06
"WTDEPAVE",0.000243331325262425
"ROCKDEPAVE",1.15364423908594e-06
"ELEV_MEAN_M_BASIN",0.000155406738002291
"SLOPE_PCT",0
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0.000137366842460796
"Q_val",0
