"","MDA"
"DRAIN_SQKM",0.000131526987519692
"PPTAVG_SITE",0.000145688290391707
"RH_SITE",0
"SNOW_PCT_PRECIP",0
"PRECIP_SEAS_IND",0
"JUN_PPT7100_CM",0
"JUN_TMP7100_DEGC",0
"BFI_AVE",0
"STOR_NID_2009",0.000179654005629743
"FORESTNLCD06",0
"PLANTNLCD06",0.000378955751379979
"WETLANDSNLCD06",0.000150857543251323
"MAINS100_FOREST",0
"IMPNLCD06",5.51994898170347e-06
"AWCAVE",0
"PERMAVE",6.10403100519655e-06
"WTDEPAVE",0
"ROCKDEPAVE",0.000116064912971714
"ELEV_MEAN_M_BASIN",3.02092026726705e-05
"SLOPE_PCT",1.25432624657597e-05
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",1.94597958815906e-05
"Q_val",0.000139811288347823
