"","MDA"
"DRAIN_SQKM",0.00107593277942908
"PPTAVG_SITE",1.65473489539345e-05
"RH_SITE",9.14492293886712e-06
"SNOW_PCT_PRECIP",0
"PRECIP_SEAS_IND",6.58356949222945e-05
"MAR_PPT7100_CM",6.22022207209865e-05
"MAR_TMP7100_DEGC",8.88190536837643e-06
"BFI_AVE",0
"STOR_NID_2009",0.000888312424854168
"FORESTNLCD06",1.05511124950165e-05
"PLANTNLCD06",3.58314730042278e-05
"WETLANDSNLCD06",0
"MAINS100_FOREST",2.07199085700744e-06
"IMPNLCD06",0.000141173198893275
"AWCAVE",0
"PERMAVE",6.60061579306636e-07
"WTDEPAVE",2.62511466287284e-05
"ROCKDEPAVE",4.29402196420882e-05
"ELEV_MEAN_M_BASIN",3.27623178110468e-06
"SLOPE_PCT",3.68479126006661e-06
"ASPECT_NORTHNESS",1.63124966738023e-05
"ASPECT_EASTNESS",0
"Q_val",0.00393380762325721
