"","MDA"
"DRAIN_SQKM",0.000483170065567839
"PPTAVG_SITE",0
"RH_SITE",0
"SNOW_PCT_PRECIP",0
"PRECIP_SEAS_IND",0
"MAY_PPT7100_CM",0
"MAY_TMP7100_DEGC",7.5072774718543e-06
"BFI_AVE",4.06602688345879e-05
"STOR_NID_2009",0.000410481644612383
"FORESTNLCD06",0
"PLANTNLCD06",3.01192350396493e-05
"WETLANDSNLCD06",0
"MAINS100_FOREST",0
"IMPNLCD06",3.03195999286709e-05
"AWCAVE",1.21726430224374e-05
"PERMAVE",0.000194853797433712
"WTDEPAVE",1.2238547367172e-06
"ROCKDEPAVE",0.000533429577567869
"ELEV_MEAN_M_BASIN",2.35499848764224e-05
"SLOPE_PCT",1.9749656067292e-06
"ASPECT_NORTHNESS",1.82786501209423e-05
"ASPECT_EASTNESS",3.12054529946067e-06
"Q_val",0.00134782834560444
