"","MDA"
"DRAIN_SQKM",1.8787453415244e-05
"PPTAVG_SITE",1.54268048128385e-05
"RH_SITE",0
"SNOW_PCT_PRECIP",0.00161031462459393
"PRECIP_SEAS_IND",0
"JUN_PPT7100_CM",0
"JUN_TMP7100_DEGC",0.000323070310563501
"BFI_AVE",0.000507735882391561
"STOR_NID_2009",0.00728643831532649
"FORESTNLCD06",0
"PLANTNLCD06",0.000256103972026809
"WETLANDSNLCD06",1.82926532927996e-05
"MAINS100_FOREST",0
"IMPNLCD06",0.000265435980727325
"AWCAVE",0.000183035856809244
"PERMAVE",7.23556671635385e-05
"WTDEPAVE",0.000291128006787741
"ROCKDEPAVE",2.86039503161044e-05
"ELEV_MEAN_M_BASIN",0.000349038810668889
"SLOPE_PCT",3.4189858924934e-05
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0
"Q_val",0.000169873733774206
