"","MDA"
"DRAIN_SQKM",0
"PPTAVG_SITE",0
"RH_SITE",3.76841791926716e-05
"SNOW_PCT_PRECIP",0.000167329923189319
"PRECIP_SEAS_IND",1.90671755383591e-05
"OCT_PPT7100_CM",1.22258175053381e-05
"OCT_TMP7100_DEGC",0
"BFI_AVE",0.000486777376469154
"STOR_NID_2009",0.000416199910902687
"FORESTNLCD06",3.94383842908701e-05
"PLANTNLCD06",0.000350801928985982
"WETLANDSNLCD06",0.000335509045322918
"MAINS100_FOREST",0
"IMPNLCD06",0.000388608745319333
"AWCAVE",0.000505827832418787
"PERMAVE",3.98296267230562e-05
"WTDEPAVE",0.00275574855748267
"ROCKDEPAVE",1.36132195873451e-05
"ELEV_MEAN_M_BASIN",0.000364788596667499
"SLOPE_PCT",0
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",6.91344074028484e-06
"Q_val",1.14943634654547e-05
