"","MDA"
"DRAIN_SQKM",1.68206129122668e-05
"PPTAVG_SITE",0.000280983939849971
"RH_SITE",0
"SNOW_PCT_PRECIP",0.00023937716336421
"PRECIP_SEAS_IND",0
"SEP_PPT7100_CM",0
"SEP_TMP7100_DEGC",9.05223745467988e-06
"BFI_AVE",0.000353483710796639
"STOR_NID_2009",0.0117733729160232
"FORESTNLCD06",0
"PLANTNLCD06",0.000364361636599155
"WETLANDSNLCD06",0.000267077999075506
"MAINS100_FOREST",0
"IMPNLCD06",0.000642193728400384
"AWCAVE",7.96990036774115e-05
"PERMAVE",7.90806960280525e-05
"WTDEPAVE",9.61517243906588e-05
"ROCKDEPAVE",0
"ELEV_MEAN_M_BASIN",2.32847320030309e-05
"SLOPE_PCT",0.000130942675237626
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",3.11302866840013e-05
"Q_val",0.000418578669561359
