Site,LAT_GAGE,LNG_GAGE,Max_Jan_Resid,Max_Feb_Resid,Max_Mar_Resid,Max_Apr_Resid,Max_May_Resid,Max_Jun_Resid,Max_Jul_Resid,Max_Aug_Resid,Max_Sep_Resid,Max_Oct_resid,Max_Nov_Resid,Max_Dec_Resid
sm2,33.905658,-84.224921,0.678353054,0.533153752,-0.310694284,-0.41243864,-1.016635745,-1.030799868,-1.428384233,-1.251387739,-0.598562555,-0.831114987,0.386952223,0.892006847
sm3,34.08233,-83.85462,-0.09489562,-0.413436891,-0.878389128,-0.930591517,-1.468583448,-1.194905994,-1.134012158,-0.959212638,-0.867069476,-0.590160503,-0.512280739,-0.200953809
sm4,38.95978,-77.17567,0.844304582,0.816588652,0.706795074,0.091003829,-0.556952935,-0.557264687,-1.203824413,-0.872332825,-0.845836411,-0.485279736,-0.137070296,0.282895586
sm5,39.885,-74.50527778,0.04845819,-1.299184418,-0.764673775,-3.616332136,-4.580167115,-5.009493196,-5.385659584,-4.904695108,-5.356005686,-3.474801034,-1.540472617,-0.571303363
sm7,39.496497,-76.34746,-0.177414774,0.124520064,-0.675323997,-0.49851338,-1.035558279,-1.143061258,-0.772850661,-0.552068311,-0.572513197,-0.851519506,-0.357914356,-0.390669116
sm8,38.908889,-77.338263,0.575982927,0.677194575,0.238817872,-0.298922466,-1.19019769,-1.589931422,-1.339913224,-0.9813498,-1.067180434,-0.64974894,0.088612694,-0.039181637
sm9,38.901111,-76.942194,1.325415683,0.998790028,1.034740308,0.599133002,0.197441858,0.588232948,1.110052306,1.088211906,1.053113605,0.707898373,0.340336236,0.708981956
sm11,38.88239,-77.431905,1.464004392,1.472202598,1.140334297,0.006492607,1.264112227,0.913013631,1.77556712,0.857059712,0.64151045,0.948062933,1.258584154,0.401806892
sm13,45.476787,-122.498424,-0.610114497,-1.141580409,-2.357642801,-1.971315422,-2.288695755,-1.888733824,-1.713391761,-2.126132002,-2.12755631,-1.965151804,-1.124948946,-0.269901761
sm15,34.096489,-84.079634,-0.342446184,-0.077447452,-0.42027281,-0.516419546,-0.877764788,-0.954942809,-0.679272801,-0.739442407,-0.496195085,-0.445949545,-0.558639046,-0.198795288
sm17,45.48011889,-122.0256385,-0.394277685,-0.390256856,-0.876351382,-1.266920383,-0.982895181,-1.44573145,-1.630466491,-1.234508697,-1.103677385,-1.778010762,-0.772456301,-0.338510444
sm18,46.782148,-87.87763,-0.156481064,-0.317758083,-1.758084032,-3.434997132,-2.076249662,-2.844496927,-3.075188151,-3.523332203,-2.028328253,-1.253001645,-1.35155991,-0.186376008
sm19,47.70677144,-121.6001069,-1.170011706,-1.268073135,-2.058641936,-2.235894071,-0.852153056,-0.736993772,-0.511558052,0.000795125,-0.230033236,-1.522833279,-1.120816925,-1.084936198
sm20,38.884695,-77.332429,0.229511199,0.512526658,0.7970424,0.13259314,-0.010397752,-0.257018813,-0.74385337,-0.252043183,-0.484750422,-0.439231846,0.400697974,-0.334657488
sm21,34.010383,-83.894068,-0.128393711,-0.149397773,-0.363457017,-0.58609905,-0.717166316,-0.96912907,-0.932657525,-0.742705877,-0.552528094,-0.578501408,-0.471815579,-0.152850217
sm22,40.77994627,-111.806045,-1.220145183,-0.960897757,-0.623861472,0.935654448,-0.357836149,-2.100691295,-1.840976012,-1.87632023,-0.67126246,-0.888965851,-1.075819236,-0.982727066
sm23,33.821497,-83.942408,-0.163080521,-0.257884248,0.133575044,0.013271408,0.210874965,0.420323246,0.614710941,0.846940398,0.092995056,-0.431666176,-0.388338386,-0.405814602
sm25,33.965101,-84.264923,0.132127102,0.019217597,-0.031447025,-0.292087318,-0.47373521,-0.502900001,-0.177734379,-0.58597247,-0.267741723,-0.180021728,-0.058661861,-0.276074858
sm26,43.431227,-123.586757,-0.27108239,-1.153336156,-2.384812518,-2.473005754,-2.089872415,-0.302657043,-0.241246849,-0.778194287,-1.792677239,-3.243985831,-1.73939816,-0.048265043
sm27,34.1326,-84.069911,0.03259813,-0.07304014,-0.255219538,-0.20202422,-0.680677339,-0.668304127,-0.237949948,-0.339711041,-0.47505236,-0.360019497,-0.637767124,-0.324421969
sm30,48.83261,-122.33905,-0.57328594,-1.33446594,-1.795627914,-1.614072656,-1.291327569,-1.53902983,-2.704566454,-2.612783281,-4.111315939,-2.540153518,-0.635772177,-0.758688334
sm31,28.38500749,-81.6164632,2.85060689,3.058629,1.407610397,0.860775499,-0.351912481,0.057041127,-0.804426149,-0.347161188,0.0751716,0.894924917,1.514810447,2.416022753
sm32,33.778163,-84.037969,-0.354593417,-0.052285643,0.17465552,0.122428434,0.00697309,-0.22810515,-0.412823398,-0.27436492,-0.202129646,-0.069373413,-0.49301554,-0.312187526
sm33,46.785759,-87.852352,0.216556694,0.238546223,-1.135913397,-3.497285957,-1.813789927,-2.373575039,-2.803078204,-3.922005014,-2.853567156,-1.580796104,-1.437123269,0.094506855
sm35,43.45215258,-110.7040913,-1.455425995,-1.851387265,-3.110688139,-4.204940557,-4.417964822,-4.806503248,-6.537775551,-6.745273082,-5.995477958,-4.747962751,-3.707146715,-1.876650981
sm36,47.947326,-121.626783,-0.525387454,-0.748608921,-1.356184351,-1.695785855,-0.942171789,-1.226058447,-0.644963274,-0.27952501,-0.413925529,-1.100345244,-0.860277585,-0.585392756
sm37,39.033139,-76.964278,-0.415915171,0.074168174,0.205422694,0.145415464,-0.331680588,-0.214150775,-0.008521472,0.032059496,-0.262876164,0.18511865,0.08186515,-0.507700513
sm40,45.486509,-122.421757,-0.460617791,-1.009881035,-2.338469942,-1.368815697,-0.950109453,-0.257698242,0.231628965,0.072421931,-0.630715497,-1.611018555,-1.314008045,-0.015466226
sm41,33.753477,-81.601771,0.136950142,-0.234370978,-0.345588177,-0.601139948,-0.881209941,-0.366934347,0.637184026,0.334187493,-0.100595912,0.100001368,-0.646251676,-0.76673222
sm42,45.44456402,-122.1095292,-0.381861003,-0.452741194,-0.998127976,-0.980316018,-0.775651932,-1.082074595,-1.206510064,-1.201189909,-1.71822718,-1.615348654,-0.504171665,-0.134179329
sm44,33.340672,-85.22689,0.85123427,0.561560045,-0.205426264,-0.648602986,-1.986053912,-1.722465334,-2.142429473,-1.641645882,-1.255069012,-1.498222386,-1.074933163,0.264356562
