Site,LAT_GAGE,LNG_GAGE,Slope_Jan_Resid,Slope_Feb_Resid,Slope_Mar_Resid,Slope_Apr_Resid,Slope_May_Resid,Slope_Jun_Resid,Slope_Jul_Resid,Slope_Aug_Resid,Slope_Sep_Resid,Slope_Oct_resid,Slope_Nov_Resid,Slope_Dec_Resid
sm2,33.905658,-84.224921,0.020044183,0.014743673,-0.015085514,-0.001975223,-0.037621845,-0.043414155,-0.10584796,-0.107797286,-0.05062201,-0.040100678,-0.021219238,0.01137409
sm3,34.08233,-83.85462,0.024502089,0.008849537,-0.015395227,-0.010426677,0.007682736,-0.013079613,-0.01508798,-0.03608342,-0.029869923,0.014801896,-0.002395026,0.000175683
sm4,38.95978,-77.17567,0.011664138,0.023470748,0.015171746,0.015920646,-0.00939264,0.033670436,0.011764437,0.024523524,0.009199644,0.012177104,0.000729577,0.030924833
sm5,39.885,-74.50527778,-0.106674073,-0.154075942,-0.101774219,-0.117096588,-0.256863771,-0.259543058,-0.286705201,-0.313366688,-0.285044539,-0.28004174,-0.178123137,-0.160444379
sm7,39.496497,-76.34746,0.008827388,0.04842131,0.017259367,0.036000184,-0.015155342,0.057410895,0.02291154,0.028944993,0.104121114,0.04269442,0.041152477,0.028858161
sm8,38.908889,-77.338263,0.023171179,0.033147604,0.035241851,0.011574286,-0.035132014,0.010327538,-0.030405187,-0.016914976,0.005289223,0.005818676,0.026543657,0.040108401
sm9,38.901111,-76.942194,0.040165877,0.007824304,0.000804185,0.029434946,-0.018857755,0.016255902,0.023531513,0.040222824,0.002762855,0.034085955,0.02670862,0.023750543
sm11,38.88239,-77.431905,-0.000717321,-0.016774551,-0.027667416,-0.070879952,-0.020920254,0.0246295,0.033400777,0.033206321,0.039581076,0.033988633,0.010919664,0.003573546
sm13,45.476787,-122.498424,0.004999504,-0.000979033,-0.011726952,-0.027718647,-0.077881456,-0.036544445,-0.026983461,-0.024766281,-0.05433045,0.019183574,0.002460228,0.066131334
sm15,34.096489,-84.079634,0.025590069,0.02351641,0.001147868,0.011267654,0.024011365,0.003444083,0.009586913,-0.00655754,-0.01334391,0.013734235,-0.000327563,-0.000956853
