Site,LAT_GAGE,LNG_GAGE,Max_Jan_Resid,Max_Feb_Resid,Max_Mar_Resid,Max_Apr_Resid,Max_May_Resid,Max_Jun_Resid,Max_Jul_Resid,Max_Aug_Resid,Max_Sep_Resid,Max_Oct_resid,Max_Nov_Resid,Max_Dec_Resid
sm12,40.027326,-75.844945,-0.929148895,-1.198386827,-0.274746192,-0.084272429,1.907327361,1.934566868,0.804343391,0.146205742,-1.90349326,-0.50271148,-0.183726729,-0.829493448
sm14,45.470952,-121.865357,0.58163947,0.377045672,-0.461590608,-1.885197444,-4.762246494,-7.173839484,-9.021767762,-9.396163797,-8.533411257,-5.634274073,-2.435704825,-0.326723454
sm82,39.02556175,-94.34383852,-0.689120445,-1.994803154,-1.226683456,-0.232421694,1.943232449,2.690144955,2.377409353,1.847844873,1.714061385,0.698099311,-0.141787336,-1.031305399
sm85,33.743441,-84.568266,1.193847924,1.3048362,0.637274032,-0.046142901,-0.49009592,-0.99536288,-0.838051361,-0.967570937,-1.019720626,-0.420665909,-0.566559065,0.18025547
sm88,33.838438,-84.439373,0.890193368,1.357691426,0.836034732,0.064495428,-0.469961034,-0.887911039,-0.651187351,-0.826362973,-0.859683841,-0.045032828,-0.773386573,-0.162300845
sm97,40.16138889,-74.1547222,2.257209016,1.963953815,1.305988799,-0.107301326,-0.815486525,-1.301110794,-1.652643146,-1.572449251,-1.674885999,-0.884470662,-0.387226707,0.686973046
sm99,34.70083333,-83.72888889,1.861673901,2.179405367,-1.050533751,0.482362712,-0.044659477,-1.142056612,-1.562319638,-0.549078266,0.520545173,1.145135869,-0.016013046,0.777200925
sm102,39.98566144,-75.82744675,0.335885805,0.887774642,0.269148859,0.147123545,-0.542748155,-1.365196082,-1.518817304,-1.537463438,-1.13493769,-0.114680655,-0.436924951,0.149576643
sm111,37.552556,-90.842444,-0.311965636,0.954911343,-1.191426181,0.663887391,-0.346040374,0.340949043,0.027500878,-0.462801659,-0.53766734,-0.662950426,-0.214396582,0.227508374
sm117,39.96177343,-75.80133411,0.997018843,1.245978054,0.544100501,0.122152683,-0.672513888,-0.894278347,-1.218460958,-0.918110206,-0.546099545,0.341331629,0.312838797,0.351198884
md7,40.146667,-74.122222,1.008562599,1.650506323,1.132110722,0.052702697,-0.430891856,-0.888546664,-1.065541491,-1.204036275,-0.9902241,-0.599389983,-0.217888422,0.43093845
md11,45.254387,-109.699895,-1.168192816,-1.576113312,-2.815513254,-2.858828923,-2.548695688,-3.250248941,-3.283343066,-2.499725861,-1.700032905,-3.10460904,-3.766585965,-2.218000154
md12,33.653806,-84.821028,0.755224572,0.983800656,0.718509058,-0.084121676,-0.467277801,-0.65485005,-0.421319855,-0.61382794,-0.778140562,-0.359158059,-1.122446692,-0.03496683
md16,36.376145,-97.800333,-1.441647259,-0.121487837,1.620371847,0.986380933,0.80621666,1.165148852,0.856272409,1.033051372,0.554552811,0.542526576,-0.438570018,-1.326496318
md22,41.55311761,-78.59613466,-0.853557058,-0.829581474,-1.66417064,-2.032540874,-3.722053604,-2.859475104,-1.916398828,-2.081472806,-1.033783587,-0.214900659,0.024399792,0.06869005
md27,47.95926837,-121.7973447,-0.336472113,-0.685525649,-1.261511391,-1.259246037,-0.547256877,-1.429219047,-2.374944035,-2.5307176,-1.142029788,-1.094192782,0.10873368,0.033792511
md28,41.15700127,-81.0717621,-1.797131976,-2.067727676,-2.05442709,-1.951853509,-3.563488964,-5.060028951,-5.104217981,-2.763431955,-2.386816198,-0.295688021,0.509728873,-0.488990476
md29,39.618889,-76.690306,-0.755655282,-2.143058178,-2.086102739,-3.240868718,-4.129505342,-6.01556388,-5.290600815,-4.949545879,-5.622066024,-3.395342023,-0.263102006,0.439284412
md30,47.41704715,-121.792054,-1.426798122,-1.89319215,-1.769154165,-0.681372923,0.697903023,1.04148476,2.280982289,2.83025281,3.133848852,1.900326284,0.074441484,-0.376160956
md34,37.493611,-90.838333,-0.09799192,-1.542339406,-1.836548378,-0.870164414,0.015797677,1.020638451,1.569149632,1.908045943,1.780069806,2.280952252,0.877103515,-0.655798361
md38,47.90732356,-121.8153994,-0.752844235,-1.408913031,-1.405446067,-1.276057561,-0.784243933,-1.889869817,-2.751069651,-2.357405923,-0.27449423,0.426057002,0.056639064,0.169072554
md39,41.29977898,-80.7584141,-0.956195364,-0.734008746,-0.981251899,0.048884195,-0.061156037,1.937582313,2.466582204,2.063457681,0.91587034,-0.296544657,-0.536141863,-1.141244322
md41,45.3504062,-119.5500218,-2.055108893,-2.075978498,-2.492078209,-2.91529059,-3.069411549,-3.910329865,-3.266418273,-0.599083578,0.688876894,0.370467949,-0.231278167,-1.063866031
md44,39.00452778,-80.4733611,-1.268949595,-2.38518904,-2.431511078,-2.898984239,-0.761548514,0.029360624,0.274866771,0.246512327,-0.724889221,-1.309681679,0.497475593,0.0615781
md50,43.72067785,-123.0497994,-0.684315763,-1.009717276,-2.358410582,-1.582174421,-3.727279533,-3.967632195,-3.524646637,-1.743100887,-0.614581162,-0.332139067,-1.480825484,-1.654650836
md51,39.50275,-79.12397222,-0.53354919,-1.171789943,-1.891892611,-3.219744689,-4.841713773,-5.058659259,-6.07739432,-5.417385231,-3.015634274,-1.338978878,0.75706976,0.216243334
md57,46.171341,-91.32935,0.381905915,0.413196145,1.058176015,-1.437665724,0.096726584,-1.147005576,-2.649906669,-2.407933243,-1.804108215,-2.025822055,-2.207351391,0.620769538
md59,35.52305556,-82.84666667,1.865705803,2.555164074,1.912674217,0.314367696,-0.572041466,-0.842110538,0.494155715,0.581543109,0.536437594,0.97770789,-0.110313352,0.880578653
md60,42.67873642,-122.7419867,-1.222328108,-1.412885469,-1.247936809,0.354677349,2.239022712,3.475637508,3.35695211,2.626963553,1.539588415,-2.062009269,-0.570850021,-1.486911929
md69,46.18030056,-112.7859489,-0.442978889,0.394170189,0.282159673,-0.453543355,-1.182245,-2.954571257,-2.615894541,-2.595854648,-3.109354296,-2.880078316,-0.885082056,-0.8104234
md71,33.772885,-84.058248,0.754142429,1.416254371,0.726217541,0.138291744,-0.210693723,-0.573713867,-0.244807139,-0.329987575,0.035423798,0.740709882,-0.03641157,0.261802291
md72,36.322581,-94.685224,1.660890508,0.507775373,-1.466805775,-1.334170957,-3.092107563,-3.332316536,-3.098267367,-2.59718133,-1.713536338,-0.490703705,1.821208915,2.087248797
md74,41.638064,-74.616883,-0.445153329,-0.506046159,-0.64570585,0.535152449,1.928823175,1.90148299,1.599412013,0.632961385,0.957504981,0.792018564,0.469982594,-0.320421737
md75,47.48259993,-122.2034547,0.414985659,0.102115979,-0.159910142,-0.111634306,0.568280744,1.223266656,1.185449324,0.962694358,0.081747345,-1.041773352,-0.589893758,0.169386288
md77,43.2526179,-123.0261716,-0.826304387,-1.462816128,-1.87604638,-0.897480374,-0.063639792,1.311973527,2.333594714,1.423013325,-1.598313235,-4.161714255,-1.830456782,-1.187629884
md78,39.92313056,-80.07255796,0.747096754,1.087520352,0.862956358,-0.099956294,0.994749062,1.07188755,0.787964283,0.168495012,-0.653359109,-0.009771777,0.349411185,0.164393985
md81,39.10056091,-94.30050385,-1.468431949,-0.43924171,0.102772717,0.832605091,1.43641116,2.539366769,2.390132672,0.560324597,1.045748484,0.031245246,-1.267250285,-0.385595615
md83,43.94429299,-122.774794,-1.050207579,-1.553610683,-2.593394216,-1.685445239,-2.167621657,-1.207352955,-1.931282667,-3.942427268,-3.804397004,0.032058646,-0.960418953,-1.670077358
md86,40.4734017,-79.18336747,1.086988358,1.443920872,0.637192137,1.723355976,1.66527094,1.28659746,0.613352817,-0.482786078,0.712625766,0.638793098,-0.265217215,-0.048350479
md88,41.48617269,-78.67835946,0.990495618,1.346423093,1.33040028,0.373757679,0.158061834,-0.9430313,-0.933648086,-1.227897847,-0.808719138,-0.292210778,0.424291424,0.035875698
md90,35.438333,-83.918889,1.979590285,2.491688525,2.274523875,1.966540714,3.974248831,4.166990349,4.836292582,4.050929971,4.465479991,4.086353041,1.813886647,2.496843508
md91,44.13595817,-122.248391,-1.045627199,-0.890838178,-0.784356106,0.393292526,-0.034696524,0.336854031,0.840339819,0.711851526,-2.952731542,-1.810482818,-0.888249881,-0.657174308
md96,33.369277,-86.784155,0.743501859,1.340686578,1.342283734,1.530245368,1.632916781,1.211956001,1.483560906,1.47503617,1.387592258,1.691366806,0.737865646,-0.052324651
md104,41.0483912,-81.0012032,-1.620987105,-2.359078779,-2.303000408,-2.828097525,-5.954580579,-4.611050344,-3.380185572,-1.105660264,-0.519265665,-0.206059929,-0.009729501,-0.932609479
md107,45.0403236,-71.4439706,-1.2505605,-1.307667269,-3.002305319,-3.844290144,-2.819173391,-2.245831298,-2.54776066,-2.065573102,-0.47206627,1.261767318,-0.015597194,-1.156906049
md109,37.974768,-91.204584,2.130564036,0.633189722,-0.958379254,-0.476457237,-1.483302938,-1.256181558,-1.597501996,-1.365707466,-0.931098585,-0.800539401,-0.072768307,1.30562253
md111,41.38199001,-82.31682728,0.512771404,0.331204514,0.742276958,1.45944567,1.843182615,2.16241693,1.52997859,0.815346193,0.699459396,0.158333337,-0.708290779,-0.016242121
md113,39.44511111,-79.11080556,0.454179575,-0.787416563,-1.04719508,-0.697248918,-3.734538929,-5.485603934,-6.679034112,-5.181026951,-4.222343274,-1.976668686,2.222156887,3.171771023
md114,43.79290124,-122.9914655,-0.665530321,-1.008927724,-1.378385373,-1.884356701,-3.402463395,-4.010559397,-3.834167085,-2.570172546,-0.353102459,0.895024595,-0.347267111,-1.122205144
md116,41.13144613,-80.97120183,-0.856536861,-0.877602342,-0.825177794,-0.944714371,-1.424741459,-0.837658976,-0.816972757,0.228507523,0.53161064,0.725862908,0.365763138,-0.645500241
md117,40.72034223,-79.51143324,-0.376156441,-0.428067307,-0.088511309,-0.606694265,0.125658497,-0.136334217,-0.236630981,-0.299080471,-0.650253598,-0.90403694,-2.133038222,-0.940451203
md118,41.47620023,-75.17211857,-0.454906688,-0.181542832,-0.339744322,1.152228628,1.591414453,2.620467535,3.273307869,2.389701108,1.664778439,0.642972961,0.240251772,-0.720344822
md119,40.45888889,-79.4494444,0.001037683,-0.156842693,0.56884232,0.285811207,0.420031515,-0.849071685,-1.391643328,-0.384717648,-0.592054005,-0.184784028,-0.245165066,-0.481845178
md120,39.8698328,-75.59326233,0.589504713,0.030043184,0.613345857,0.720400908,0.242899127,0.338602145,0.638771728,0.434923439,0.405002106,0.583362575,-0.074697318,0.01035152
md122,44.6262275,-121.4839433,0.10473022,0.049937196,-0.392973703,-0.762659691,-2.601287884,-4.131852269,-5.88539281,-6.110740092,-5.669605683,-3.399433139,-1.097675076,-0.212425606
md123,39.76941667,-75.57327778,0.067776625,0.988657867,0.649938483,0.87959518,0.739926788,1.107755003,1.6682265,1.246127681,1.173612971,0.942610826,0.078262885,-0.168437732
md126,40.92756532,-79.29115083,-0.156548569,-0.110885168,-0.011600072,-0.151743692,-1.607630816,-1.607751335,-1.194502092,-0.638489203,-0.552256384,-0.79975618,-0.753430414,-1.005078497
md127,40.8170092,-80.24228371,-0.029752022,-0.285944506,0.017986097,-0.663505407,2.030173549,0.752253159,0.68837956,1.344303253,0.577551908,0.399026971,-0.164256381,-0.43409349
