Site,LAT_GAGE,LNG_GAGE,Max_Jan_Resid,Max_Feb_Resid,Max_Mar_Resid,Max_Apr_Resid,Max_May_Resid,Max_Jun_Resid,Max_Jul_Resid,Max_Aug_Resid,Max_Sep_Resid,Max_Oct_resid,Max_Nov_Resid,Max_Dec_Resid
sm1,42.354541,-71.268112,0.547562099,0.439161126,0.794569384,0.429081542,-1.155236101,-0.748352463,-1.448354915,-1.508814803,-0.967026843,-0.228483463,1.526081343,0.229392925
sm2,33.905658,-84.224921,0.972484035,0.7205936,-0.191653635,-0.24277816,-0.825845357,-0.921912909,-1.480997123,-1.172940562,-0.530991615,-0.693770714,0.533116687,1.055139715
sm3,34.08233,-83.85462,-0.153319565,-0.45086015,-1.045191536,-1.060886896,-1.724819793,-1.667780862,-1.495399255,-1.49821399,-1.200189543,-0.597043676,-0.487618241,-0.238361289
sm5,39.885,-74.50527778,0.82464351,0.325997163,0.656413352,-2.57773398,-4.291031279,-5.453144477,-5.946464255,-5.474942477,-5.324803694,-3.523864021,-0.556460319,1.276690159
sm7,39.496497,-76.34746,0.798569675,1.439398304,0.132671632,0.264680987,-0.225137088,-0.952376215,-1.06276421,-0.671044239,-0.80402343,-0.575802516,-0.273051815,1.105938728
sm9,38.901111,-76.942194,1.809660905,2.092958109,1.417303754,0.525155282,0.410166832,0.473761343,0.918877217,0.848847704,0.837916106,0.883527324,0.063476066,1.160886148
sm10,39.330083,-76.534889,1.104848233,0.734582555,-0.455298362,-0.914314532,-1.217167453,-1.255865121,-1.206663445,-0.47431548,-0.327215379,0.336149541,0.189362017,1.567012126
sm11,38.88239,-77.431905,2.513045967,2.833958001,2.198902282,0.564384851,1.805617055,0.958106945,1.69307237,0.668071811,0.844141942,1.379722689,1.277096854,1.858783403
sm15,34.096489,-84.079634,-0.230227109,0.010977482,-0.542204155,-0.643760594,-1.170193078,-1.301283094,-1.010863716,-1.09874059,-0.797226421,-0.476954218,-0.322330165,-0.07516906
sm17,45.48011889,-122.0256385,-0.547318421,0.037417592,-0.691390651,-1.199826777,-1.13150209,-1.721500544,-2.000832935,-1.513299442,-1.421707265,-1.439566482,-0.775602525,-0.314151796
sm18,46.782148,-87.87763,-1.255273318,-1.60786435,-3.180622611,-4.954489147,-1.600715066,-2.953374891,-3.877915615,-4.048092582,-2.413355702,-1.569221356,-2.046339961,-1.226999179
sm19,47.70677144,-121.6001069,-0.897860152,-1.219010941,-1.92448863,-2.420525991,-1.040777598,-1.151732731,-1.212739727,-0.638444541,-0.386374344,-1.182805377,-1.169057821,-0.875358315
sm21,34.010383,-83.894068,-0.128085362,-0.186508212,-0.51627706,-0.634515317,-0.97395128,-1.179951764,-1.020038601,-1.022807718,-0.825065381,-0.55318831,-0.191438813,-0.113807803
sm22,40.77994627,-111.806045,-1.273390352,-0.839585254,0.088685446,1.06974655,-1.31856389,-2.803082503,-3.48201729,-2.757721095,-0.900268357,-0.637597824,-0.18318958,-0.806607575
sm23,33.821497,-83.942408,-0.271654575,-0.456301391,-0.061376439,-0.024044262,0.178366031,0.146427939,0.248505241,0.285124599,-0.221853701,-0.254804648,-0.156134777,-0.36646021
sm24,45.49428561,-122.0359167,-0.665928329,-0.364600205,-1.288393312,-1.4466409,-2.491021046,-3.216914617,-4.907269587,-4.747611268,-4.536161189,-2.397283881,-0.851009888,-0.298560034
sm25,33.965101,-84.264923,0.38552571,0.202626304,-0.081513548,-0.178223001,-0.342511834,-0.386211926,-0.20258153,-0.502436809,-0.252473829,-0.082776268,-0.034367938,-0.275757061
sm27,34.1326,-84.069911,0.154043435,0.026787743,-0.485681868,-0.388374828,-1.02681444,-1.118354782,-0.774769785,-0.809208032,-0.743681756,-0.32228953,-0.336119684,-0.135402716
sm30,48.83261,-122.33905,-0.199287183,-0.942410158,-1.110260405,-1.526869216,-1.518613399,-1.330596258,-2.386577735,-2.584552054,-3.577030696,-2.255079856,-0.190374971,-0.413647831
sm32,33.778163,-84.037969,-0.354644505,-0.29256734,-0.245107191,-0.025153124,-0.217414141,-0.556043139,-0.748738921,-0.642777158,-0.554725381,-0.189582612,-0.273628434,-0.334811852
sm34,33.688997,-84.33048,-0.03409579,0.264892918,0.118245323,0.250710689,0.210994657,0.083284885,0.13368716,0.013020787,0.135131374,0.03646695,-0.222111322,0.607315031
sm35,43.45215258,-110.7040913,-1.56439276,-1.83067723,-2.910871925,-4.348622875,-4.82077468,-5.373118293,-7.096219794,-7.209400512,-6.374160852,-4.701481609,-3.153171218,-1.667513307
sm36,47.947326,-121.626783,-0.371316557,-0.780986014,-1.214669155,-1.824239598,-1.249806593,-1.621369372,-1.318081215,-0.800677269,-0.47111377,-0.96705301,-0.942139296,-0.410498028
sm37,39.033139,-76.964278,0.713029531,1.651627539,0.979073,0.968145117,-0.323811014,-0.103967028,-0.421768076,0.047647333,-0.448096246,0.070867695,0.131521279,1.002824503
