Site,LAT_GAGE,LNG_GAGE,Slope_Jan_Resid,Slope_Feb_Resid,Slope_Mar_Resid,Slope_Apr_Resid,Slope_May_Resid,Slope_Jun_Resid,Slope_Jul_Resid,Slope_Aug_Resid,Slope_Sep_Resid,Slope_Oct_resid,Slope_Nov_Resid,Slope_Dec_Resid
sm12,40.027326,-75.844945,-0.017132161,-0.033704353,0.029685638,0.024774464,-0.019322486,-0.098016784,-0.258256585,-0.065290926,-0.081177873,-0.112202996,-0.012281307,0.001847798
sm14,45.470952,-121.865357,-0.087844096,-0.108128822,-0.140637427,-0.123824735,-0.144113663,-0.12336604,-0.155947372,-0.064822881,-0.116264738,-0.162097559,-0.188989956,-0.107220252
sm82,39.02556175,-94.34383852,-0.104210452,-0.116600819,-0.027454677,-0.007870795,0.147173524,0.17034635,0.075745227,0.079020733,0.106127109,-0.052673706,0.01544369,-0.135907525
sm85,33.743441,-84.568266,0.132745181,0.13658837,0.100233249,0.033682293,0.060652868,0.039251217,0.090945074,0.066679908,0.043139714,0.080654411,0.093482123,0.118021177
sm88,33.838438,-84.439373,0.145854703,0.145298143,0.100466285,0.040739196,0.06151442,0.064794381,0.077762216,0.049728263,0.029788588,0.08593808,0.088577202,0.120002294
sm97,40.16138889,-74.1547222,0.088927698,0.071357008,0.058505618,0.027229835,-0.039332744,0.038467079,0.021015622,0.036699433,0.027309534,0.008227599,0.059541198,0.088677446
sm99,34.70083333,-83.72888889,0.161388892,0.117902671,0.059988667,0.058104408,0.022140018,-0.085568837,-0.093996407,-0.040835603,-0.067372836,0.106314795,0.080325499,0.165392656
sm102,39.98566144,-75.82744675,0.082921557,0.07841873,0.045665001,0.052966607,-0.016042171,0.04380712,-0.002933372,0.040597909,0.029647632,0.041237735,0.073592815,0.083700053
sm111,37.552556,-90.842444,-0.002480839,0.021002828,0.015205094,0.003293466,0.011651541,-0.015078311,0.027705355,0.000361606,0.034555978,-0.001996247,-0.024097444,0.034270242
sm117,39.96177343,-75.80133411,0.03856516,0.032031358,0.010845202,0.030791635,-0.045877011,0.027216038,-0.041720317,-0.002613427,-0.020759626,-0.010162548,0.01530436,0.034715784
md7,40.146667,-74.122222,0.079830471,0.069118498,0.050793159,0.081262968,-0.015779923,0.057351528,0.008522036,0.048254877,0.04392914,0.039524708,0.064460866,0.068484294
md11,45.254387,-109.699895,-0.000288528,-0.023985578,-0.065894952,-0.075904352,0.039985076,-0.050393444,-0.017135864,-0.027649276,-0.000346218,-0.071800791,-0.12179765,-0.033969109
md12,33.653806,-84.821028,0.120608413,0.121257436,0.070166966,0.043124191,0.083351411,0.108439435,0.047471345,0.161851882,0.089261923,0.136153144,0.098343569,0.135777122
md16,36.376145,-97.800333,0.031693503,0.089024444,0.114486081,0.084825364,0.014305525,0.040546383,-0.01731856,-0.022699049,-0.015776456,0.060499459,0.058234316,0.05149419
md22,41.55311761,-78.59613466,-0.06944555,-0.075727477,-0.07385305,-0.096111743,-0.099634852,-0.11884375,-0.111961691,-0.011764251,-0.102869238,-0.172705837,-0.063770983,-0.074050042
