Site,LAT_GAGE,LNG_GAGE,Slope_Jan_Resid,Slope_Feb_Resid,Slope_Mar_Resid,Slope_Apr_Resid,Slope_May_Resid,Slope_Jun_Resid,Slope_Jul_Resid,Slope_Aug_Resid,Slope_Sep_Resid,Slope_Oct_resid,Slope_Nov_Resid,Slope_Dec_Resid
sm1,42.354541,-71.268112,-0.014901624,-0.014668293,-0.014132185,-0.030926006,-0.114321908,-0.078930736,-0.18770843,-0.136660067,-0.08984121,-0.095677393,-0.012868265,-0.013973805
sm2,33.905658,-84.224921,0.024809104,0.01817032,-0.001422883,0.003179017,-0.027202481,-0.036520945,-0.107622586,-0.107145695,-0.053926424,-0.04473619,-0.022135057,0.018843666
sm3,34.08233,-83.85462,0.021392632,0.006398879,-0.010492877,-0.006605011,0.012540214,-0.002676125,0.009350322,-0.011042759,-0.006765864,0.022263412,-0.002151395,0.006481729
sm5,39.885,-74.50527778,-0.053706168,-0.111187121,-0.095002807,-0.135056924,-0.236745774,-0.219371467,-0.288012687,-0.29107976,-0.276406363,-0.300204015,-0.177197182,-0.116690745
sm7,39.496497,-76.34746,0.025680651,0.055707303,0.044256174,0.037684776,-0.030346007,0.055340619,0.028520691,0.041982543,0.110685598,0.037794459,0.034991158,0.061495549
sm9,38.901111,-76.942194,0.04899368,0.012842971,0.022450635,0.0316317,-0.029080299,0.020213994,0.034334759,0.048239855,-0.004813922,0.033116967,0.036101586,0.035771783
sm10,39.330083,-76.534889,-0.036168124,-0.062768901,-0.060086698,-0.021731221,-0.085684762,-0.014742082,-0.04978518,-0.029845697,-0.001849879,-0.016388567,8.15527E-05,-0.011109658
sm11,38.88239,-77.431905,0.013861352,-0.004239109,-0.001005431,-0.066068466,-0.023448488,0.02822233,0.028469995,0.037007222,0.032603567,0.034772996,0.013877279,0.011514541
sm15,34.096489,-84.079634,0.02900784,0.028245928,0.011698561,0.016693791,0.028133973,0.012168152,0.032382853,0.002943511,0.008431874,0.011355566,0.001611576,0.008326507
sm17,45.48011889,-122.0256385,-0.031040922,-0.014510061,-0.030392114,-0.044009994,-0.028140599,-0.061156238,-0.039316829,-0.03704635,-0.056491493,-0.052575491,-0.038275586,-0.010284166
sm18,46.782148,-87.87763,-0.015651042,-0.032053888,-0.089738404,-0.151022208,0.042944683,-0.015178293,-0.002383084,-0.032564281,-0.015855183,0.010767373,-0.02497273,-0.018123305
sm19,47.70677144,-121.6001069,-0.008563179,-0.010721638,-0.041768309,-0.047732856,-0.032021872,-0.017758347,-0.016501154,-0.005342294,0.001724062,-0.065777364,-0.047388416,0.005038092
sm21,34.010383,-83.894068,0.039654059,0.030579789,0.015396236,0.01427521,0.039670782,0.035933652,0.052740674,0.03648298,0.019533597,0.034142946,0.019825879,0.0317316
sm22,40.77994627,-111.806045,-0.051557786,-0.012470383,0.004652234,0.050844724,-0.004674848,-0.061983091,-0.044268643,0.01618927,0.020165048,0.051679498,0.021107027,-0.020837792
sm23,33.821497,-83.942408,0.018670487,-0.000607026,0.002259683,-0.010202592,0.001514736,-0.076575076,-0.024592034,0.022458449,0.007393219,-0.006981807,0.019909722,0.014978852
sm24,45.49428561,-122.0359167,-0.017997051,-0.021391593,-0.055059059,-0.01171547,-0.103783046,-0.14748578,-0.15081411,-0.122785108,-0.218358095,-0.087725492,-0.032238411,0.004566546
sm25,33.965101,-84.264923,0.024177169,0.02699255,0.019598669,-0.014049015,0.015110207,0.034210013,0.008388312,-0.069673572,-0.03589229,-0.005218836,-0.00248787,-0.015908473
sm27,34.1326,-84.069911,0.05400781,0.042718915,0.023611902,0.014535357,0.041154438,0.009943812,0.008818845,0.006283101,0.011829756,0.035643863,0.016790284,0.029123701
sm30,48.83261,-122.33905,0.117200544,0.114796815,0.152330652,0.106163287,0.044339453,0.055468525,0.005571203,-0.013466359,-0.136507152,0.075037129,0.092654077,0.150316786
sm32,33.778163,-84.037969,-0.005149551,-0.015556576,-0.012313412,-0.025923747,0.005703946,-0.054485982,-0.005213556,-0.103189675,-0.025421055,0.008897717,0.011491697,0.00416108
sm34,33.688997,-84.33048,-0.01110272,-0.015354478,-0.010826579,-0.032057601,0.016120685,0.027537549,0.117104377,0.031186446,0.04107964,0.03103055,-0.004516129,0.046103557
sm35,43.45215258,-110.7040913,-0.025139345,-0.038194572,-0.071274442,-0.072099276,-0.097883219,-0.135850711,-0.148897475,-0.065937639,-0.117845422,-0.054058592,-0.100809683,-0.0447858
sm36,47.947326,-121.626783,0.023015486,-0.019336328,-0.012391568,-0.062366767,-0.058950479,-0.037585513,-0.008397182,-0.044056179,0.017603269,0.02639612,-0.023305089,-0.009371008
sm37,39.033139,-76.964278,0.003741771,0.03481623,0.071058018,0.038747924,-0.00357152,0.045620312,0.018598008,0.051120373,0.038431911,0.011107476,0.03942809,0.047150875
sm38,33.794273,-84.474375,0.092914692,0.078657467,0.054780484,0.034005713,0.032936595,0.026056266,0.090067834,0.075182737,0.027035718,0.071581696,0.069277902,0.085671229
sm40,45.486509,-122.421757,0.005038572,0.001659063,0.006517172,0.056403348,0.003798803,0.053296173,0.054266446,0.041365412,0.05339534,0.061203296,0.054989049,0.109810425
sm41,33.753477,-81.601771,0.050135271,0.019182312,0.01194648,0.028545905,0.059154778,0.026201861,0.052289896,0.056405589,0.066233723,0.070277293,0.049642223,0.008080389
sm42,45.44456402,-122.1095292,-0.026455748,-0.011435981,-0.007800741,-0.035893104,-0.016097943,-0.046141867,-0.021671558,-0.046251244,-0.060941496,-0.059037289,-0.016139355,0.021899617
sm43,40.73523,-111.47603,-0.12232255,-0.135925419,-0.13110846,0.034363477,0.035274474,-0.067716638,-0.074355565,-0.122552246,-0.037264718,-0.070871002,-0.089734481,-0.143497403
sm44,33.340672,-85.22689,0.043189485,0.057967889,0.019953708,-0.002170802,0.008229255,-0.006747714,0.02007281,-0.03864387,0.035050143,0.058291145,0.04849899,0.065902286
sm45,33.534549,-86.562485,-0.101011578,-0.094904597,-0.081124138,-0.073497637,-0.096242925,-0.123429419,-0.165855488,-0.131190678,-0.117099138,-0.127416929,-0.085293772,-0.113650308
sm46,33.815107,-83.990188,-0.029992269,-0.035976101,-0.034590724,-0.023939271,-0.008902398,-0.044081274,0.021908484,-0.057861323,-0.012943081,-0.007169989,-0.008581842,-0.016650166
sm49,38.88743023,-117.2453673,0.045273528,0.0217171,0.049809838,0.01232605,0.018399227,-0.020648752,-0.023708251,0.022412625,0.038209674,0.006192341,0.025729606,0.060544468
sm51,42.976943,-89.539566,-0.070067742,-0.117380966,-0.176239641,-0.124068429,-0.101954279,-0.062478724,-0.022303276,-0.134453977,-0.124373432,-0.100465142,-0.182782998,-0.066142074
