Site,LAT_GAGE,LNG_GAGE,Max_Jan_Resid,Max_Feb_Resid,Max_Mar_Resid,Max_Apr_Resid,Max_May_Resid,Max_Jun_Resid,Max_Jul_Resid,Max_Aug_Resid,Max_Sep_Resid,Max_Oct_resid,Max_Nov_Resid,Max_Dec_Resid
sm3,34.08233,-83.85462,-0.18417279,-0.309525704,-0.954455209,-1.055689141,-1.725640377,-1.522475561,-1.744303387,-1.247471475,-1.346327288,-0.816039133,-0.524013167,-0.020289608
sm15,34.096489,-84.079634,-0.065477372,0.215985797,0.106563188,-0.290368333,-0.788088906,-0.823617904,-0.833225822,-0.84978293,-0.754407615,-0.498158399,-0.402840513,0.103786905
sm21,34.010383,-83.894068,0.007377181,0.078004518,-0.206955852,-0.279259066,-0.536549266,-0.665067836,-0.744022027,-0.631557205,-0.6902839,-0.47647726,-0.290530539,0.236098056
sm23,33.821497,-83.942408,0.01500998,-0.020587366,0.199396486,0.306067575,0.371043478,0.218233233,0.247957911,0.438487062,-0.11599073,-0.150850277,-0.211755326,-0.230207346
sm25,33.965101,-84.264923,0.3670856,-0.008961853,-0.066790837,-0.226789891,-0.314254189,0.113583307,0.161370716,-0.120597994,-0.115394271,-0.130399584,0.038181815,0.088731056
sm27,34.1326,-84.069911,0.229796998,0.177574379,0.145910404,-0.091814386,-0.66582056,-0.647501887,-0.656813863,-0.626878103,-0.799760922,-0.386873213,-0.574288302,-0.081655713
sm34,33.688997,-84.33048,-0.320387677,0.080274325,0.165732861,0.279660184,0.193174922,-0.006897467,0.101148023,0.019290098,0.335947466,0.19638573,-0.081609798,0.198719367
sm38,33.794273,-84.474375,0.09933712,0.115927131,0.139171322,0.176472017,0.134922907,-0.036024047,0.001864176,-0.005621425,-0.082605211,-0.148591229,-0.648866728,-0.482641325
sm41,33.753477,-81.601771,-0.97446743,-1.115530413,-1.070499516,-0.876859958,-0.782155247,-0.829914967,-0.580081437,-0.57270483,-0.647313283,-0.446982111,-1.459805425,-1.700750062
sm44,33.340672,-85.22689,0.148490285,0.019822279,-0.356452981,-0.826822003,-1.699220744,-1.391570781,-1.752676618,-1.364741519,-0.941999289,-1.387102476,-1.249466146,-0.577438607
sm45,33.534549,-86.562485,1.359611335,0.574356243,0.567994446,-0.560614703,-1.251397392,-1.581531886,-2.061463982,-1.969111254,-1.351538222,-0.771085842,0.74721988,1.144364672
sm46,33.815107,-83.990188,0.041598114,0.040011913,-0.413479677,-0.286549663,-0.667941073,-0.919253462,-0.921005802,-0.741567868,-0.792993826,-0.41147758,-0.196660718,0.134730168
sm55,30.282184,-81.740376,2.559060686,2.46280514,2.898501668,3.277140328,3.289092534,3.049308618,2.405055717,2.012236231,2.239496264,3.325564811,2.720520666,2.3079127
sm59,33.678997,-84.357981,0.190558678,-0.016122488,0.306290324,-0.290429246,-0.984772916,-0.75522356,-0.714022818,-0.53866604,-0.347592052,-0.741218986,-0.471095269,-0.3640313
