Variable,JanSlope,FebSlope,MarSlope,AprSlope,MaySlope,JunSlope,JulSlope,AugSlope,SepSlope,OctSlope,NovSlope,DecSlope
DRAIN_SQKM,-0.334276662,-0.316435449,-0.362884124,-0.234119782,0.242425175,-0.087514227,-0.020948045,-0.093850934,-0.149466302,-0.145282845,-0.433695284,-0.344427697
PPTAVG_SITE,-0.00649051,0.023593466,0.062413485,0.263465502,-0.119197761,0.015841767,-0.03109908,0.053677443,0.003537482,-0.13685441,0.305730721,0.06087545
RH_SITE,0.25597821,0.240200026,0.260544751,0.067710772,-0.043366387,0.068970507,0.106888539,0.082859089,0.029540792,0.072056858,0.149026684,0.26668596
SNOW_PCT_PRECIP,-0.773705339,-0.751895658,-0.753649046,-0.258916899,-0.035959826,-0.320285464,-0.265561315,-0.219142686,-0.281403325,-0.429918329,-0.439115924,-0.732300783
PRECIP_SEAS_IND,-0.004952475,-0.034175151,-0.14682088,-0.445015227,-0.016272417,-0.143806331,-0.139069181,-0.25300686,-0.140176566,-0.059214371,-0.460580147,-0.072810606
MON_PPT7100_CM,-0.067273678,-0.010981574,0.235227168,0.067642807,-0.112122797,-0.290662442,-0.156356701,-0.175428343,-0.03669753,-0.248884924,-0.102586976,-0.197268449
MON_TMP7100_DEGC,0.756559722,0.733919838,0.771693992,0.386077702,0.080562306,0.412101264,0.37088191,0.363745424,0.342520533,0.448337383,0.567811991,0.72407641
BFI_AVE,-0.165461872,-0.119136239,-0.049493986,0.121289489,-0.163923836,-0.132055738,-0.100495247,-0.012704174,-0.091513119,-0.249192531,0.026115845,-0.135747024
STOR_NID_2009,-0.461097136,-0.448751005,-0.501530716,-0.384427661,-0.209236059,-0.455541377,-0.415725104,-0.41634241,-0.498938028,-0.480542292,-0.498073799,-0.500913409
FORESTNLCD06,-0.649204836,-0.656156757,-0.671783198,-0.384170537,-0.030360823,-0.291642314,-0.244455382,-0.226860254,-0.24697776,-0.395736565,-0.572487619,-0.642191393
PLANTNLCD06,-0.102373225,-0.059799745,-0.046264823,-0.008490087,0.008090192,-0.092652691,-0.019840965,0.003045357,-0.056508298,-0.112832029,-0.216681791,-0.134426381
WETLANDSNLCD06,-0.085208484,-0.052478583,0.068012981,0.357383454,0.090314841,0.084962394,0.05241706,0.112062999,0.032729901,0.016272667,0.227263639,-0.043465555
MAINS100_FOREST,-0.292995786,-0.297117721,-0.22667569,-0.018610231,-0.0656126,0.022916731,-0.05829155,0.057307207,0.116429297,-0.055646129,-0.160232551,-0.282352579
IMPNLCD06,0.652219385,0.671783198,0.71374081,0.511396844,0.159002122,0.427112492,0.328124519,0.336060783,0.345165954,0.47842136,0.711095389,0.673874927
AWCAVE,0.327140177,0.365775631,0.444707619,0.446922391,0.146205666,0.377649266,0.296010336,0.358208496,0.372050817,0.38989203,0.569350026,0.351072011
PERMAVE,0.075332985,0.065674121,0.167861208,0.189947399,0.046417915,0.173767264,0.246731674,0.279953244,0.239779753,0.109046726,0.062844135,0.057799379
WTDEPAVE,0.313666985,0.317235227,0.234181304,0.026669538,0.106339783,0.157464087,0.132363346,0.076317328,0.072379956,0.103263712,0.093973976,0.306653542
ROCKDEPAVE,0.43047203,0.429395389,0.5122045,0.413399572,-0.04851039,0.237322546,0.138086962,0.219019641,0.262269868,0.259532122,0.446652414,0.419336481
ELEV_MEAN_M_BASIN,-0.587991018,-0.585037989,-0.653019164,-0.51035098,-0.083515334,-0.375680581,-0.291765357,-0.303885078,-0.328678212,-0.367990403,-0.633147744,-0.590328832
SLOPE_PCT,-0.5250546,-0.525546772,-0.596111846,-0.423113599,-0.004214218,-0.288750807,-0.202559291,-0.211110769,-0.247162324,-0.315881756,-0.571072626,-0.527269372
ASPECT_NORTHNESS,0.145713495,0.158079301,0.238918453,0.277246301,0.072626042,0.201328863,0.161893629,0.20723492,0.144606109,0.237072811,0.22452244,0.119136239
ASPECT_EASTNESS,0.073794949,0.113476268,0.236826725,0.552431634,0.253129902,0.308929835,0.251530345,0.382263373,0.287028208,0.236149989,0.403549786,0.110031068
MonthlyQ,-0.459449067,-0.385191565,-0.429880956,-0.295861083,0.180657664,-0.132670953,-0.119013196,-0.196379408,-0.280937587,-0.251776431,-0.48519618,-0.421390999
