"Site","Jan_max","Feb_max","Mar_max","Apr_max","May_max","Jun_max","Jul_max","Aug_max","Sep_max","Oct_max","Nov_max","Dec_max"
"sm1",6.65,7.6,9.75,13.875,17.9,20.925,21.725,20.4,18.85,16.15,13.225,7.5
"sm2",14.725,16.45,17.425,19.1,22.025,23.725,24.625,24.45,23.9,21.925,17.35,14.85
"sm3",13.4,15.075,16.425,18.2,20.8,22.325,23.8,23.8,22.7,21.7,16.175,13.425
"sm4",9.925,11.625,14.325,18.325,21.425,23.8,25.3,24.475,22.925,21.2,14.65,10.2
"sm5",7.475,7.35,8.85,11.875,15.15,16.8,18.125,17.625,16.2,15.5,12.6,9.075
"sm7",8.55,10.425,12.6,16.9,20.45,22.7,24.775,23.825,22.675,20.35,14.075,9.45
"sm8",9.275,11.1,13.55,17.5,20.45,22.675,24.95,23.975,22.375,20.625,14.45,9.525
"sm9",10.425,11.675,14.5,18.975,22.55,25.2,27.725,26.65,25.1,22.45,15.75,10.9
"sm10",9.675,10.125,12.6,16.675,20.85,23.5,25.65,25.375,24,21.95,15.75,11.3
"sm11",10.425,12.15,15.1,18.475,23.6,25.85,28.6,26.375,24.75,22.525,15.85,10.325
"sm12",5.225,6.125,9.45,15.4,21.4,23.65,25,23.975,19.975,18.975,13.65,6.475
"sm13",8.325,8.6,9.8,13.325,16.9,19.175,19.75,19.975,18,13.825,12,9.225
"sm14",6.6,6.625,6.6,6.275,6.025,5.875,5.95,6.075,6.25,6.4,6.45,6.5
"sm15",13.1,15.3,16.575,18.425,21.2,22.45,24.05,23.85,23,21.775,16.15,13.425
"sm17",5.25,5.325,4.675,6.3,10.15,11.95,13.8,14.6,13.375,9.625,8.1,6.225
"sm18",1.65,1.625,2.35,5.35,14.15,16.2,16.875,15.6,14.7,11.925,5.125,2.7
"sm19",3.725,3.475,3.15,4.775,8.66666666666667,11.3,14.025,14.9,13.6,8.8,7.15,4.475
"sm20",9.075,11.075,14.225,18.3,22.025,24.3,25.825,25.025,23.225,21.125,14.875,9.4
"sm21",13.45,15.4,16.875,18.6,21.6,22.75,24.3,24.2,23.15,21.775,16.325,13.55
"sm22",2.325,3.55,5.75,8.875,10.725,12.2,14.575,14.775,13.575,9.575,6.375,2.975
"sm23",13.875,15.55,17.775,19.575,23.175,24.75,26.3,26.2,24.125,22.35,16.65,13.65
"sm24",5.175,5.25,4.7,7.45,10.525,11.525,11.475,11.7,10.875,9.575,8.275,6.1
"sm25",13.925,15.775,17.45,19.15,22.525,24.225,25.9,25.1,24.175,22.5,16.75,13.45
"sm26",9.325,9.375,9.55,11.875,15.05,17.875,19.05,19.3,17.375,13.025,11.4,9.2
"sm27",13.375,15.125,16.475,18.55,21.275,22.575,24.2,24.05,22.9,21.825,15.975,13.25
"sm28",7.025,9.275,13.9,18.25,22.2,25.25,26.5,24.8,23.7,21.3,13.1,8.85
"sm29",3.875,4.55,7.95,13.425,20.725,23.75,25.575,24.475,23.025,19,11.025,6
"sm30",6.675,6.925,7.375,10.7,16,17.45,17.8,18.25,14.9,12.225,10.575,7.125
"sm31",20.05,22.7,22.825,24.025,26.3666666666667,28.425,28.45,28.6,27.975,26.775,23.15,20.825
"sm32",13.6,15.625,17.525,19.55,22.775,24.125,25.45,25.3,23.95,22.55,16.5,13.6
"sm33",2.175,2.25,3.075,5.425,14.15,16.25,17.275,15.55,14.45,11.825,5.2,3.1
"sm34",13.95,16.275,18.15,20.25,23.85,25.275,26.85,26.425,25.125,23.375,17.05,14.6
"sm35",1.475,1.575,2.1,2.925,4.825,7.15,8.4,8.65,7.975,5.175,3.05,1.475
"sm36",4.45,4.1,3.825,5.225,8.575,10.825,13.975,14.75,13.575,9.075,7.375,5.1
"sm37",8.375,10.6,13.625,17.9,21.2,23.625,25.7,24.7,22.9,20.925,14.4,9.2
"sm38",14.45,16.425,18.125,20.225,23.925,25.3,26.8,26.425,24.775,23,16.5,13.95
"sm40",8.375,8.65,9.825,14,18.3,20.925,21.9,22.15,19.4,14,11.825,9.4
"sm41",14.575,16.175,18.375,20.8,24.1,25.75,26.95,26.775,25.625,23.625,17.575,14.1
"sm42",5.625,5.7,4.975,7.275,11.7,13.5,15.1,15.525,13.9,10.25,8.75,6.75
