"","mtry","Jan_rmse","Feb_rmse","Mar_rmse","Apr_rmse","May_rmse","Jun_rmse","Jul_rmse","Aug_rmse","Sep_rmse","Oct_rmse","Nov_rmse","Dec_rmse","oob_rmse"
"1",1,2.80552157252368,2.47581285056655,2.62708065081445,2.79612648225138,3.05403572641265,3.15331021255498,2.80196954989693,2.97132592497885,3.17906211260252,3.42060250313512,3.12589201557276,2.87213714532097,2.9402397288859
"2",2,2.43816433120603,2.10161951754982,2.18318142415869,2.34249305144792,2.57348887980687,2.66452568482142,2.44478010514865,2.64814932685588,2.92846089967928,3.2447017931055,2.93934427400732,2.64988055367451,2.59656582012182
"3",3,2.27717545942628,1.91200968469672,1.95141542321306,2.09430770230989,2.31340625076473,2.39580808157223,2.27555276928615,2.5184539150492,2.8257501455623,3.1751913144826,2.8764874129903,2.5531443258004,2.43072520709615
"4",4,2.17396326484426,1.79790310770767,1.7971002410776,1.94654854135231,2.14153861351977,2.22484853158981,2.1730484993154,2.4506497702817,2.78294640091746,3.14101231885999,2.85114054964863,2.50758979256509,2.33235746930664
"5",5,2.12315131581793,1.73759440635733,1.70994232553227,1.85622080530023,2.04751124016399,2.11797002150811,2.11483669304995,2.40582250753396,2.75006150357251,3.12226732808159,2.82579466745001,2.48511491972212,2.2746906445075
"6",6,2.08478701052557,1.68506012681389,1.63351109339077,1.78800321725987,1.97245128556973,2.04208505651789,2.07740368786635,2.38124114112307,2.73057589212543,3.12072793020686,2.81842313194582,2.47226805979963,2.23387813609541
"7",7,2.05416932605998,1.64852385813128,1.576136192035,1.74179454561474,1.92235317213985,1.99388773854732,2.05027381523893,2.364413254593,2.72433964562718,3.1144183000019,2.80763861862351,2.46067096897773,2.20488495296587
"8",8,2.03952612868333,1.62743644436207,1.5381340837006,1.71106034720798,1.88790460842631,1.96156680112995,2.03878542442938,2.35802358910741,2.7158653213328,3.10271007677952,2.8164837221211,2.45625337211639,2.18781249328307
"9",9,2.02375424557656,1.61417090900626,1.5150672119997,1.68848502171117,1.86971782576345,1.93823757627557,2.03251631460474,2.35419294464964,2.71551425739137,3.11300417827083,2.81097204303624,2.46005567611714,2.17797401703356
"10",10,2.01269416159792,1.60333186981751,1.49472732758214,1.66746579325304,1.85230252697257,1.91395072209954,2.02520353514116,2.34649632458836,2.71497451480254,3.12025415144974,2.81370811221222,2.462632175731,2.16897843460398
"11",11,2.00444912753159,1.59459876821528,1.47764689595052,1.65783423057086,1.84088357800174,1.91107751705686,2.02889260001997,2.34530649113986,2.71619959324786,3.11262565755844,2.81393889816401,2.46036905298766,2.16365186753705
"12",12,1.99220545545632,1.59302368363719,1.47657463608887,1.64619777517712,1.82874179375292,1.90608893344422,2.02429714098143,2.34953245202373,2.7169099455262,3.11430109997471,2.81165885480345,2.46626481696968,2.16048304898632
"13",13,1.99211666099809,1.58991404550892,1.46070138517444,1.6453560379308,1.81968242575388,1.8998533614562,2.02540380252607,2.35338315891348,2.72077460787096,3.11467761274966,2.82029723073763,2.46501566387637,2.15893133279137
"14",14,1.99017528925702,1.59139413059076,1.45686141353826,1.63291337975389,1.82522253773931,1.89904040684645,2.03189467877635,2.3582070032152,2.72278397132064,3.12028104106423,2.8189901430136,2.4703338101177,2.15984148376945
"15",15,1.98716257239378,1.5905490896941,1.45374656505222,1.63611645910143,1.82143278887981,1.89845290968676,2.0308287242547,2.36148199018576,2.72372310558618,3.12109907816619,2.8186811354705,2.47083376519936,2.1595090153059
"16",16,1.98997020411368,1.58346992766675,1.45169603729701,1.63549558710522,1.81393546996246,1.90448611999807,2.03234068417251,2.36776440989561,2.73255544948823,3.1165551645963,2.82210050849224,2.47149619297029,2.16015547964653
"17",17,1.98711268570957,1.59021049863603,1.45488416848093,1.63701799878759,1.82130620878857,1.90613878027278,2.03332705091901,2.36701589750921,2.73475147532339,3.12099915702666,2.8251273974649,2.47864629580418,2.1630448012269
"18",18,1.99169120161729,1.58737612748121,1.45326149763377,1.64309005688199,1.82033819302228,1.91498716252403,2.04109536060449,2.37505171709086,2.73730124552295,3.12097404837265,2.82094764343155,2.48337564285562,2.16579082475323
"19",19,1.99445596544553,1.58671129039262,1.45615831414019,1.64463369101036,1.82407119016173,1.92197838466526,2.03847899751568,2.38013566443987,2.73970744736052,3.11985811203675,2.82525774363941,2.48645874748341,2.16815879569094
"20",20,1.99737145085896,1.59291498335915,1.45491147345345,1.65005065826371,1.83110891989435,1.92684847858148,2.03989498844031,2.38501465931196,2.74480564641539,3.12580521719506,2.81989795590671,2.4907353441986,2.17161331465659
