Site,HUC02,Strat_Group
sm1,1,G1
sm2,3,G2
sm3,3,G2
sm4,2,G1
sm5,2,G1
sm7,2,G1
sm8,2,G1
sm9,2,G1
sm10,2,G1
sm11,2,G1
sm12,2,G1
sm13,17,G7
sm14,17,G7
sm15,3,G2
sm17,17,G7
sm18,4,G3
sm19,17,G7
sm20,2,G1
sm21,3,G2
sm22,16,G6
sm23,3,G2
sm24,17,G7
sm25,3,G2
sm26,17,G7
sm27,3,G2
sm28,10L,G5
sm29,4,G3
sm30,17,G7
sm31,3,G2
sm32,3,G2
sm33,4,G3
sm34,3,G2
sm35,17,G7
sm36,17,G7
sm37,2,G1
sm38,3,G2
sm40,17,G7
sm41,3,G2
sm42,17,G7
sm43,16,G6
sm44,3,G2
sm45,3,G2
sm46,3,G2
sm49,16,G6
sm50,17,G7
sm51,7,G3
sm53,1,G1
sm55,3,G2
sm57,17,G7
sm58,17,G7
sm59,3,G2
sm60,17,G7
sm61,2,G1
sm62,17,G7
sm64,17,G7
sm65,3,G2
sm66,17,G7
sm67,3,G2
sm68,3,G2
sm69,7,G3
sm70,3,G2
sm71,17,G7
sm72,14,G6
sm73,17,G7
sm74,4,G3
sm75,1,G1
sm76,5,G4
sm77,3,G2
sm78,3,G2
sm79,17,G7
sm80,3,G2
sm81,17,G7
sm82,10L,G5
sm83,16,G6
sm84,3,G2
sm85,3,G2
sm86,3,G2
sm87,16,G6
sm88,3,G2
sm89,12,G5
sm91,17,G7
sm93,10U,G5
sm94,6,G2
sm95,1,G1
sm96,17,G7
sm97,2,G1
sm98,1,G1
sm99,3,G2
sm100,5,G4
sm102,2,G1
sm103,2,G1
sm104,3,G2
sm105,3,G2
sm106,17,G7
sm107,2,G1
sm108,6,G2
sm109,3,G2
sm110,4,G3
sm111,11,G5
sm113,3,G2
sm114,17,G7
sm115,13,G6
sm116,16,G6
sm117,2,G1
sm118,1,G1
sm119,17,G7
sm120,16,G6
sm121,2,G1
md1,2,G1
md2,11,G5
md3,5,G4
md5,2,G1
md6,5,G4
md7,2,G1
md8,3,G2
md9,7,G3
md10,17,G7
md11,10U,G5
md12,3,G2
md13,2,G1
md14,6,G2
md15,17,G7
md16,11,G5
md17,3,G2
md18,17,G7
md19,17,G7
md20,11,G5
md22,5,G4
md23,3,G2
md24,2,G1
md25,12,G5
md26,14,G6
md27,17,G7
md28,5,G4
md29,2,G1
md30,17,G7
md31,3,G2
md32,5,G4
md33,5,G4
md34,11,G5
md35,17,G7
md37,3,G2
md38,17,G7
