"site","begin_date","end_date","n_days"
"'01011000",1975-04-12,2022-04-13,3804
"'01054200",1977-10-01,2022-04-13,6161
"'01073319",2008-07-04,2022-04-13,3730
"'01091000",2012-07-13,2022-04-13,3556
"'01095220",1998-04-15,2022-04-13,8712
"'01095375",1997-04-06,2022-04-13,8841
"'01104430",1997-09-30,2022-04-13,8430
"'01104460",1997-10-31,2022-04-13,7327
"'01104475",2003-12-24,2022-04-13,6647
"'01115098",2000-01-29,2022-04-13,6973
"'01115187",2000-02-01,2022-04-13,6738
"'01129200",1999-06-17,2022-04-13,7383
"'01157000",2015-09-30,2022-04-13,2111
"'01170100",2015-10-01,2022-04-13,2365
"'01193500",1975-03-27,2020-02-04,7011
"'01194000",2015-10-26,2020-03-17,1546
"'01196500",2013-09-30,2022-04-13,2758
"'01362500",1996-06-01,2022-04-13,9004
"'01388000",1989-04-01,2022-04-13,11418
"'01400500",2003-08-28,2022-04-13,4960
"'01401000",1997-04-09,2022-04-13,1155
"'01402000",2001-08-01,2022-04-13,551
"'01408000",1969-07-02,2021-09-21,3723
"'01408029",2006-12-29,2022-04-13,5306
"'01411500",1980-01-18,2022-03-16,3377
"'01417500",1978-06-02,2022-04-14,15247
"'01420500",1987-09-30,2022-04-13,9553
"'01421000",1975-10-01,2022-04-14,15428
"'01425000",1975-10-01,2022-04-13,15704
"'01426500",1977-04-15,2022-04-14,15499
"'01427207",1992-09-30,2022-04-14,6897
"'01427510",1975-06-27,2022-04-14,13967
"'01428500",1975-10-01,2022-04-13,15343
"'01428750",1988-07-05,2022-04-13,6973
"'01429000",1987-10-06,2022-04-13,7428
"'01431500",2007-08-23,2022-04-13,5324
"'01432110",2007-07-27,2022-04-13,5349
"'01433500",2013-09-30,2022-04-14,3109
"'01434000",1974-06-26,2022-04-13,7384
"'01436690",1992-10-09,2022-04-13,10315
"'01440000",2000-08-18,2022-04-13,809
"'01447500",1980-10-09,2022-04-13,8621
"'01447720",1980-06-27,2022-04-13,9735
"'01447800",1987-10-01,2022-04-13,7471
"'01449360",1968-10-11,2022-04-13,13395
"'01454700",2010-07-29,2022-04-13,2585
"'01466500",1968-10-23,2022-04-13,11277
"'01467150",1998-10-28,2022-04-13,1594
"'01472157",1998-11-05,2022-04-13,2643
"'01473500",2012-02-23,2022-04-13,2841
"'01477120",1998-10-28,2022-04-13,1589
"'01480400",1996-06-21,2022-04-13,9186
"'01480500",1995-01-05,2022-04-13,9818
"'01480617",1971-05-20,2022-04-13,12985
"'01480870",1972-02-01,2022-04-13,13566
"'01481000",1971-10-06,2022-04-13,14697
"'01481500",1969-10-02,2022-04-13,5734
"'01484525",2006-10-01,2022-04-13,4336
"'01518700",1976-09-27,2022-04-13,5393
"'01520000",1972-05-18,2022-04-13,5285
"'01540500",2010-11-10,2022-04-13,3864
"'01542500",2010-11-11,2022-04-13,4109
"'01544500",2010-11-11,2022-04-13,4122
"'01545600",2012-02-16,2022-04-13,3668
"'01549700",2010-11-17,2022-04-13,4004
"'01563200",1985-10-15,2022-04-13,2005
"'01581752",2013-08-30,2022-04-13,3104
"'01581920",2011-03-09,2022-04-13,4051
"'01585230",2015-10-02,2022-04-13,2361
"'01595800",2012-10-01,2022-04-13,3371
"'01596500",2012-10-01,2022-04-13,3390
"'01597500",2012-10-01,2022-04-13,3477
"'01608500",2005-10-27,2021-01-11,5490
"'01611500",2007-04-27,2020-11-02,4793
"'01636500",1980-09-11,2020-12-21,1689
"'01645704",2007-09-30,2022-04-13,5156
"'01645762",2007-09-30,2022-04-13,5132
"'01646000",2006-09-22,2021-03-21,3772
"'01646305",2007-11-30,2022-04-13,5094
"'01649190",2007-10-01,2022-04-13,5100
"'01649500",2003-12-18,2022-04-13,6206
"'01651800",2013-02-05,2022-04-13,3294
"'01654000",2002-01-17,2022-04-13,3480
"'01656903",2007-09-30,2022-04-13,5151
"'02011400",1978-03-01,2022-04-13,14411
"'02011500",1978-06-22,2022-04-13,13829
"'02042500",2010-10-14,2021-10-25,3983
"'02077200",1987-04-11,2022-04-14,11152
"'02077303",1985-10-01,2022-04-14,11156
"'02101726",2009-01-17,2022-04-14,4539
"'02110500",2007-04-27,2022-04-14,5383
"'02110701",2000-02-11,2022-04-14,6149
"'02110704",1991-10-08,2022-04-14,10680
"'02111000",2012-11-07,2022-04-14,3400
"'02135000",2013-07-04,2022-04-14,3133
"'02137727",2013-04-25,2022-04-14,3274
"'02148000",1988-03-04,2022-04-13,6473
"'02156500",1983-12-08,2022-04-13,13477
"'02160105",1983-12-08,2022-04-13,13251
"'02160700",1984-05-04,2022-04-13,13482
"'02163001",1996-09-30,2022-04-13,8747
"'02168504",1988-10-01,2022-04-14,12045
"'02169000",1987-07-09,2022-04-13,12537
"'02172300",2012-02-24,2022-04-13,3690
"'02201000",2015-12-31,2021-06-23,2000
"'02203603",2007-04-19,2022-04-14,5327
"'02203655",2003-04-07,2022-04-14,6759
