ID,Site,LAT_GAGE,LNG_GAGE
sm1,'01104475,42.354541,-71.268112
sm2,'02336030,33.905658,-84.224921
sm3,'02217274,34.08233,-83.85462
sm4,'01646305,38.95978,-77.17567
sm5,'01466500,39.885,-74.50527778
sm7,'01581752,39.496497,-76.34746
sm8,'01645762,38.908889,-77.338263
sm9,'01651800,38.901111,-76.942194
sm10,'01585230,39.330083,-76.534889
sm11,'01656903,38.88239,-77.431905
sm12,'01480400,40.027326,-75.844945
sm13,'14211499,45.476787,-122.498424
sm14,'14138720,45.470952,-121.865357
sm15,'02334578,34.096489,-84.079634
sm17,'14138870,45.48011889,-122.0256385
sm18,'04043238,46.782148,-87.87763
sm19,'12147600,47.70677144,-121.6001069
sm20,'01645704,38.884695,-77.332429
sm21,'02218565,34.010383,-83.894068
sm22,'10172200,40.77994627,-111.806045
sm23,'02207400,33.821497,-83.942408
sm24,'14138900,45.49428561,-122.0359167
sm25,'02335350,33.965101,-84.264923
sm26,'14320934,43.431227,-123.586757
sm27,'02334480,34.1326,-84.069911
sm28,'06893620,39.11194,-94.47222
sm29,'0422026250,43.25367,-77.74223
sm30,'12210900,48.83261,-122.33905
sm31,'02266200,28.38500749,-81.6164632
sm32,'02207185,33.778163,-84.037969
sm33,'04043244,46.785759,-87.852352
sm34,'02203700,33.688997,-84.33048
sm35,'13018300,43.45215258,-110.7040913
sm36,'12137290,47.947326,-121.626783
sm37,'01649190,39.033139,-76.964278
sm38,'02336526,33.794273,-84.474375
sm40,'14211400,45.486509,-122.421757
sm41,'02172300,33.753477,-81.601771
sm42,'14139800,45.44456402,-122.1095292
sm43,'10129900,40.73523,-111.47603
sm44,'02338523,33.340672,-85.22689
sm45,'02423397,33.534549,-86.562485
sm46,'02207385,33.815107,-83.990188
sm49,'10249300,38.88743023,-117.2453673
sm50,'12148000,47.68926929,-121.7134457
sm51,'05435943,42.976943,-89.539566
sm53,'01187300,42.03731639,-72.9389911
sm55,'02246459,30.282184,-81.740376
sm57,'12447390,48.82292454,-120.1459245
sm58,'12209490,48.6715,-122.1396
sm59,'02203655,33.678997,-84.357981
sm60,'14141500,45.41539777,-122.1714746
sm61,'01654000,38.81289066,-77.22831581
sm62,'14161500,44.20957081,-122.256733
sm64,'14180300,44.6529,-122.130908
sm65,'02336360,33.869167,-84.378889
sm66,'14211500,45.4776202,-122.5078686
sm67,'02455980,33.711213,-86.696101
sm68,'02336240,33.802883,-84.340759
sm69,'05288705,45.049965,-93.310227
sm70,'02111000,35.99083333,-81.55833333
sm71,'12413370,47.476667,-116.221667
sm72,'09183600,38.485718,-109.411104
sm73,'12148300,47.69676817,-121.7873379
sm74,'04232050,43.13034057,-77.5186085
sm75,'01095220,42.410925,-71.791183
sm76,'03022540,41.6906115,-80.04811219
sm77,'02208150,33.917607,-83.887958
sm78,'02335870,33.95388889,-84.44333333
sm79,'14206950,45.403452,-122.754819
sm80,'02458450,33.5176059,-86.8791584
sm81,'14205400,45.680669,-123.07122
sm82,'06893890,39.02556175,-94.34383852
sm83,'10133650,40.723838,-111.519644
sm84,'02337498,33.527222,-84.936389
sm85,'02336728,33.743441,-84.568266
sm86,'02336120,33.831493,-84.342703
sm87,'10336780,38.9199077,-119.9724036
sm88,'02336410,33.838438,-84.439373
sm89,'08052745,33.219285,-96.891948
sm91,'12115000,47.37010733,-121.6251009
sm93,'06036805,44.45966,-110.82243
sm94,'03544970,34.883982,-83.721562
sm95,'01170100,42.70341694,-72.6706475
sm96,'14150800,43.91429242,-122.6886762
sm97,'01408000,40.16138889,-74.1547222
sm98,'01095375,42.37287,-71.828128
sm99,'02330450,34.70083333,-83.72888889
sm100,'03022554,41.69589,-80.10811
sm102,'01480500,39.98566144,-75.82744675
sm103,'01545600,41.38951168,-77.6908191
sm104,'02077200,36.39777778,-79.19666667
sm105,'02334885,34.03232319,-84.08935639
sm106,'14138850,45.4981743,-122.0123049
sm107,'01596500,39.57005556,-79.10194444
sm108,'03460000,35.6675,-83.07361111
sm109,'02457595,33.597049,-86.868048
sm110,'04188496,40.97922,-83.653265
sm111,'07061270,37.552556,-90.842444
sm113,'02479155,31.02527778,-89.01666667
sm114,'14211550,45.452897,-122.64315
sm115,'08377900,35.77725369,-105.6580725
sm116,'10336610,38.9224078,-119.9915706
sm117,'01480617,39.96177343,-75.80133411
sm118,'01073319,43.042307,-71.200618
sm119,'12056500,47.51425666,-123.3298868
sm120,'10133800,40.75967,-111.564091
sm121,'01646000,38.97594346,-77.24581439
md1,'01472157,40.15149064,-75.60130497
md2,'07191222,36.355359,-94.776339
md3,'03067510,38.61706,-79.86978
md5,'01484525,38.594556,-75.291028
md6,'03028000,41.57533955,-78.69224919
md7,'01408029,40.146667,-74.122222
md8,'02385800,34.71666667,-84.77
md9,'05370000,44.85277778,-92.23833333
md10,'14046890,44.910407,-120.440863
md11,'06204070,45.254387,-109.699895
md12,'02337410,33.653806,-84.821028
md13,'01435000,41.89009153,-74.58987933
md14,'03446000,35.39805556,-82.595
md15,'14034470,45.34068289,-119.5158544
md16,'07160350,36.376145,-97.800333
md17,'02344630,33.36039,-84.58632
md18,'13016450,43.50076,-110.8716
md19,'13150430,43.3222222,-114.1066667
md20,'07263296,34.884256,-92.701831
md22,'03027500,41.55311761,-78.59613466
md23,'02212600,33.0998535,-83.72351041
md24,'01649500,38.96025,-76.92597222
md25,'08052700,33.28344977,-96.8927805
md26,'09196500,43.03050173,-109.7701526
md27,'12137800,47.95926837,-121.7973447
md28,'03092460,41.15700127,-81.0717621
md29,'01581920,39.618889,-76.690306
md30,'12116500,47.41704715,-121.792054
md31,'02336300,33.81944444,-84.40777778
md32,'03066000,39.12705242,-79.46838516
md33,'03034500,40.83617561,-79.11003564
md34,'07061290,37.493611,-90.838333
md35,'14162200,44.16234819,-122.3331192
md37,'02450250,34.28537757,-87.39890838
md38,'12138160,47.90732356,-121.8153994
md39,'03095500,41.29977898,-80.7584141
md41,'14034500,45.3504062,-119.5500218
md42,'02266300,28.33278738,-81.57979604
md43,'14185900,44.54012357,-122.4359155
md44,'03058000,39.00452778,-80.4733611
md45,'01091000,43.01480528,-71.64146139
md47,'01193500,41.55232124,-72.44925287
md48,'12205000,48.90595739,-121.8443104
md49,'14179000,44.75262179,-122.1289648
md50,'14153500,43.72067785,-123.0497994
md51,'01597500,39.50275,-79.12397222
md52,'10133980,40.87078,-111.585204
md53,'02201000,32.97570924,-82.60985398
md54,'04077630,44.898031,-88.844273
md55,'07048550,36.05397,-94.08326
md56,'02137727,35.68583333,-82.06027778
md57,'05331833,46.171341,-91.32935
md58,'13018350,43.458333,-110.796111
md59,'03456991,35.52305556,-82.84666667
md60,'14338000,42.67873642,-122.7419867
md61,'12117600,47.379546,-121.983448
md63,'01544500,41.4758994,-77.82582513
md64,'04063700,45.7635697,-88.4631785
md65,'0423205010,43.14506276,-77.51194171
md66,'11173575,37.540491,-121.856345
md67,'03034000,40.93923105,-79.00836738
md69,'12323770,46.18030056,-112.7859489
md70,'14159200,44.04706704,-122.2178245
md71,'02207120,33.772885,-84.058248
md72,'071912213,36.322581,-94.685224
md74,'01436690,41.638064,-74.616883
md75,'12119000,47.48259993,-122.2034547
md76,'14185000,44.39179225,-122.4975817
md77,'14318000,43.2526179,-123.0261716
md78,'03073000,39.92313056,-80.07255796
md79,'04166500,42.37225901,-83.25548465
md80,'03512000,35.46138889,-83.35361111
md81,'06894000,39.10056091,-94.30050385
md82,'02208450,33.64011554,-83.77906741
md83,'14151000,43.94429299,-122.774794
md84,'01362500,42.01425877,-74.27070269
md85,'03038000,40.6547875,-79.34865114
md86,'03042000,40.4734017,-79.18336747
md87,'01433500,41.46148109,-74.7587746
md88,'03028500,41.48617269,-78.67835946
md89,'10396000,42.79083333,-118.8675
md90,'0351706800,35.438333,-83.918889
md91,'14159500,44.13595817,-122.248391
md92,'14154500,43.7359565,-122.8734019
md93,'14178000,44.70678854,-122.1011859
md95,'14362000,42.0637361,-123.1114358
md96,'02423496,33.369277,-86.784155
md97,'03017500,41.60200599,-79.05003923
md99,'02337000,33.77288466,-84.61465559
md100,'13331500,45.61986694,-117.7265892
md101,'01420500,41.94647708,-74.97960864
md102,'04125460,44.19334009,-85.76978632
md104,'03090500,41.0483912,-81.0012032
md105,'02042500,37.43625765,-77.06080271
md106,'03007800,41.81867578,-78.29279129
md107,'01129200,45.0403236,-71.4439706
md108,'14169000,44.12345657,-123.2998173
md109,'07014000,37.974768,-91.204584
md110,'13092747,42.5625,-114.494722
md111,'04199500,41.38199001,-82.31682728
md113,'01595800,39.44511111,-79.11080556
md114,'14155500,43.79290124,-122.9914655
md115,'05124480,47.9226749,-91.535126
md116,'03091500,41.13144613,-80.97120183
md117,'03039000,40.72034223,-79.51143324
md118,'01431500,41.47620023,-75.17211857
md119,'03047000,40.45888889,-79.4494444
md120,'01481000,39.8698328,-75.59326233
