"X","Group","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","MeanImp"
"Drainage Area","Hydrology",0.08,0.24,0.28,0.51,1.23,3.3,5.17,7.04,4.63,0.99,0.16,0.05,1.97333333333333
"Annual Precipitation","Climate",1.12,0.62,2.17,1.86,0.24,0.27,0.8,0.69,0.63,0.4,0.35,0.59,0.811666666666667
"Relative Humidity","Climate",0.42,0.21,0.61,0.69,0.45,0.71,0.69,1.82,0.91,0.1,0.1,0.38,0.590833333333333
"Snow Percentage","Hydrology",12.75,20.63,15.14,9.55,11.12,8.53,8.45,13,13.38,22.29,10.92,10.03,12.9825
"Precipitation Seasonality","Climate",1.14,0.94,0.55,0.35,0.74,0.28,0.52,0.5,2.26,12.33,0.77,1.31,1.8075
"Montly Precipitation","Climate",0.56,0.49,1.08,2.81,0.88,0.25,0.74,0.42,0.74,1.22,0.75,0.76,0.891666666666667
"Monthly Air Temp.","Climate",75.15,69.52,71.79,73.96,63.23,57.34,46.01,45.59,51.05,43.52,78.92,81.61,63.1408333333333
"Baseflow Index","Hydrology",0.6,0.42,0.4,0.28,1.12,6.04,11.71,12.19,9.03,7.31,1.31,0.22,4.21916666666667
"Dam Storage","Human",0.37,0.89,0.7,1.16,3.7,6.56,8.67,5.18,3.76,3.2,0.56,0.2,2.9125
"Forest LC","Watershed",0.07,0.3,0.43,0.63,0.74,1.28,0.22,0.63,0.42,0.13,0.08,0.13,0.421666666666667
"Agricultural LC","Human",0.01,0.15,0.29,1.64,2.78,3.23,4.32,1.65,1.22,0.6,0.12,0.07,1.34
"Wetland LC","Hydrology",2.62,1.59,1.17,0.68,0.68,1.32,1.08,0.77,0.6,0.87,1.25,1.27,1.15833333333333
"Riparian Forest LC","Watershed",0.33,0.48,1.14,1.3,1.74,1.24,3.2,2.95,3.32,1.94,0.49,0.52,1.55416666666667
"Impervious LC","Human",1.36,0.82,1.05,1.29,0.8,0.44,0.38,0.23,0.37,0.3,0.22,0.77,0.669166666666667
"Soil Water Capacity","Hydrology",0.43,0.36,0.44,0.14,0.13,0.46,0.37,0.02,1.11,0.68,0.18,0.31,0.385833333333333
"Subsurface Permeability","Watershed",0.41,0.25,0.27,0.14,0.27,0.21,0,0.23,0.2,0.06,0.17,0.17,0.198333333333333
"Water Table Depth","Hydrology",0.36,0.47,0.36,0.11,0.43,0.39,0.48,0.51,0.31,0.11,0.21,0.2,0.328333333333333
"Bedrock Depth","Watershed",0.36,0.41,0.95,0.15,0.27,0.2,0.15,0.3,0.36,0.59,1.84,0.57,0.5125
"Watershed Elevation","Watershed",0.95,0.35,0.16,0.34,0.95,0.93,0.9,0.72,0.22,0.33,0.68,0.61,0.595
"Watershed Slope","Watershed",0.37,0.44,0.82,2.2,8.29,6.19,3.76,4.55,4.44,2.26,0.74,0.15,2.85083333333333
"Aspect (Northness)","Watershed",0.15,0.25,0.08,0,0,0.11,0.03,0.24,0.28,0.05,0.13,0.04,0.113333333333333
"Aspect (Eastness)","Watershed",0.15,0.1,0.1,0.15,0,0.43,1.54,0.6,0.63,0.4,0.05,0.01,0.346666666666667
"Median Monthly Discharge","Hydrology",0.24,0.07,0.05,0.05,0.22,0.26,0.83,0.18,0.14,0.32,0,0.04,0.2
