"X","Group","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","MeanImp"
"Drainage Area","Hydrology",0,0.15,0.32,0.3,0.06,0.91,0.63,0.5,0.2,0,0.42,0.37,0.321666666666667
"Annual Precipitation","Climate",0.26,0.33,1.41,0.74,0.28,1.46,0.65,1.25,1.47,0.5,0.97,0.13,0.7875
"Relative Humidity","Climate",0.52,0.19,0.3,0.1,1.58,1.13,3,1.59,0.85,1.15,2.06,0.61,1.09
"Snow Percentage","Hydrology",12.16,8.05,4.32,6.77,3.46,5.26,2.27,0.79,1.31,6.52,5.13,7.72,5.31333333333333
"Precipitation Seasonality","Climate",0.25,0.55,3.3,1.82,0.61,1.64,3.61,1.58,2.14,17.15,6.3,1.93,3.40666666666667
"Montly Precipitation","Climate",0.68,0.44,0.52,1.98,0.4,0.97,0.55,2.54,0.86,0.57,0.38,0.56,0.870833333333333
"Monthly Air Temp.","Climate",48.55,45.75,36.73,3.26,5.27,3.11,1.63,2.12,2.15,0.77,23.37,42.16,17.9058333333333
"Baseflow Index","Hydrology",0.32,0.45,0.22,1.71,1.31,2.16,2.86,1.88,1.21,1.56,3.6,1.09,1.53083333333333
"Dam Storage","Human",18.56,31.81,39.25,54.33,66.24,69.5,73.04,76.29,81.22,56.3,43.34,24.74,52.885
"Forest LC","Watershed",2.05,1.08,1,1.33,0.09,0.03,0.08,0,0.39,0.23,0.46,1.69,0.7025
"Agricultural LC","Human",1.39,1.25,1.71,4.01,2.86,5.32,1.03,0.72,0.17,2.03,2.12,1.54,2.0125
"Wetland LC","Hydrology",0.9,0.5,2.03,0.28,0.8,0.97,0.19,0.4,0.89,0.56,0.84,0.42,0.731666666666667
"Riparian Forest LC","Watershed",0,0.07,0.26,0.16,0.03,0.27,0.23,0,0,0.32,0.25,0.01,0.133333333333333
"Impervious LC","Human",8.98,6.22,4.96,4.73,1.18,1.5,3.42,3.69,1.18,3.16,5.44,12.42,4.74
"Soil Water Capacity","Hydrology",0.68,0.48,0.43,1.8,1.63,0,0.45,0,0,0,0.92,0.55,0.578333333333333
"Subsurface Permeability","Watershed",1.02,0.66,0.01,0.24,0.72,0.72,0.91,0.14,0.52,0.25,0.17,0.32,0.473333333333333
"Water Table Depth","Hydrology",0.67,0.26,0.29,3.79,1.6,1.39,0.82,1.41,2.05,2.81,0.78,0.63,1.375
"Bedrock Depth","Watershed",0.32,0.39,0.15,0,2.73,0.3,2.54,0.52,0,0.27,0.18,0.29,0.640833333333333
"Watershed Elevation","Watershed",0.18,0.41,0.32,2.89,1.18,0.95,1.02,1.64,1.12,2.04,0.84,0.12,1.05916666666667
"Watershed Slope","Watershed",0,0.12,0.59,7.32,7.79,0.78,0.77,0.84,0.41,1.88,0.31,0.21,1.75166666666667
"Aspect (Northness)","Watershed",0.16,0.18,0.03,0.07,0.1,0,0,0,0,0.06,0.01,0,0.0508333333333333
"Aspect (Eastness)","Watershed",0.81,0.39,0.61,0.17,0,0.6,0,0.97,0.76,0.66,1.31,0.24,0.543333333333333
"Median Monthly Discharge","Hydrology",1.54,0.28,1.21,2.21,0.06,1.01,0.31,1.13,1.09,1.19,0.78,2.23,1.08666666666667
