"X","Group","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","MeanImp"
"Drainage Area","Hydrology",0.05,0.11,0.13,0.1,1.14,1.15,1.88,1.59,0.7,0.3,0.01,0.08,0.603333333333333
"Annual Precipitation","Climate",0.8,0.33,0.7,1.74,0.41,0.12,0.66,0.54,0.9,0.21,0.4,0.52,0.610833333333333
"Relative Humidity","Climate",0.22,0.11,0.79,1.03,0.31,0.21,0.68,0.9,1.16,0.11,0.18,0.42,0.51
"Snow Percentage","Hydrology",10.96,18.74,14.07,17.6,14.37,8.72,9.4,15.12,19.75,29.49,11.53,12.4,15.1791666666667
"Precipitation Seasonality","Climate",0.53,0.63,0.34,0.67,0.24,0.06,0.23,0.04,1.09,8.32,0.72,0.28,1.09583333333333
"Montly Precipitation","Climate",0.65,0.26,0.53,3.87,1.13,0.24,0.24,0.43,0.23,0.41,0.2,0.56,0.729166666666667
"Monthly Air Temp.","Climate",79.22,72.62,72.51,61.31,55.69,54.78,42.09,37.16,36.37,36.36,77.16,79.43,58.725
"Baseflow Index","Hydrology",0.19,0.21,0.43,0.77,2.63,6.19,7.54,9.66,13.11,12.87,1.95,0.12,4.63916666666667
"Dam Storage","Human",0.51,0.73,1.06,3.16,11.48,15.17,22.17,16.6,7.88,0.82,0.07,0.09,6.645
"Forest LC","Watershed",0.3,0.57,0.99,2.14,2.46,2.34,1.69,2.27,1.44,0.11,0.06,0.35,1.22666666666667
"Agricultural LC","Human",0.06,0.09,0.05,0.77,2.13,2.83,2.08,1.9,2.24,0.61,0.04,0.02,1.06833333333333
"Wetland LC","Hydrology",1.27,0.74,1.38,0.51,0.57,1.58,2.79,2.41,1.79,0.69,1.91,1.26,1.40833333333333
"Riparian Forest LC","Watershed",0.2,0.26,0.61,0.35,0.73,1.92,2.92,4.41,5.58,1.52,0.06,0.2,1.56333333333333
"Impervious LC","Human",1.15,1.46,3.18,4.01,1.27,0.69,1.12,1.31,1.81,0.68,0.46,0.82,1.49666666666667
"Soil Water Capacity","Hydrology",0.15,0.23,0.14,0.15,0,0,0,0.08,0.06,0.15,0.26,0.21,0.119166666666667
"Subsurface Permeability","Watershed",0.13,0.1,0.16,0,0,0.26,0.46,0.26,0,0.22,0.18,0,0.1475
"Water Table Depth","Hydrology",0.36,0.16,0.62,0.07,0.28,0.19,0.47,0.89,0.96,0.42,0.11,0.31,0.403333333333333
"Bedrock Depth","Watershed",0.57,0.89,1.24,0.61,0.06,0.16,0.02,0.01,0.05,0.77,3.4,0.84,0.718333333333333
"Watershed Elevation","Watershed",0.95,0.44,0.38,0.35,0.78,1.19,0.78,1.05,0.47,1.6,0.79,0.59,0.780833333333333
"Watershed Slope","Watershed",0.6,0.81,0.44,0.36,3.83,1.98,2.5,2.96,3.08,3.08,0.38,1.08,1.75833333333333
"Aspect (Northness)","Watershed",1,0.3,0.08,0.2,0.19,0.02,0.13,0,0,0.12,0.06,0.29,0.199166666666667
"Aspect (Eastness)","Watershed",0.08,0.2,0.17,0.23,0.23,0.13,0.12,0.29,0.58,1.03,0.06,0.04,0.263333333333333
"Median Monthly Discharge","Hydrology",0.07,0.03,0.01,0,0.07,0.07,0,0.13,0.76,0.1,0.01,0.09,0.111666666666667
