"X","Group","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","MeanImp"
"Drainage Area","Hydrology",0,0.01,0.04,0.06,0.37,0.37,2.09,2.73,1.68,0.16,0.04,0,0.629166666666667
"Annual Precipitation","Climate",1.22,0.82,0.69,0.34,0.14,0.23,1.2,2.04,1.51,0.39,1.04,1.56,0.931666666666667
"Relative Humidity","Climate",0.56,0.2,0.21,0.09,0.08,0.04,0.21,0.11,0.22,0.22,0.34,0.85,0.260833333333333
"Snow Percentage","Hydrology",25.65,34.72,21.46,15.21,16.03,12.81,10.77,15.9,16.28,26.16,16.92,26.2,19.8425
"Precipitation Seasonality","Climate",0.4,0.83,0.92,2.09,0.28,0.21,1.9,1.69,4.66,9.27,1.36,0.45,2.005
"Montly Precipitation","Climate",0.25,0.24,0.6,1.03,0.09,0.52,1.78,0.3,0.22,0.6,0.79,0.19,0.550833333333333
"Monthly Air Temp.","Climate",65.42,57.65,68.05,63.85,64.85,62.91,59.21,59.68,57.65,48.08,70.71,63.97,61.8358333333333
"Baseflow Index","Hydrology",0.3,0.19,0.25,0.26,1,2.95,8.01,5.48,6.54,6.61,1.61,0.46,2.805
"Dam Storage","Human",0.06,0.01,0,0.17,0.35,0.39,0.58,0.31,0.36,0.15,0.06,0.04,0.206666666666667
"Forest LC","Watershed",0.42,0.29,0.37,0.46,0.23,0.37,0,0,0.07,0.07,0.12,0.22,0.218333333333333
"Agricultural LC","Human",0.31,0.37,1.8,1.87,0.67,0.78,1.28,0.72,1.4,0.9,0.17,0.3,0.880833333333333
"Wetland LC","Hydrology",1.02,0.63,0.55,0.51,1.08,0.69,0.33,0.33,0.29,0.05,0.64,0.27,0.5325
"Riparian Forest LC","Watershed",0.2,0.18,0.55,1.54,0.55,0.67,0.84,0.79,1.42,0.28,0.35,0.2,0.630833333333333
"Impervious LC","Human",0.35,0.37,0.68,0.39,0.13,0.09,0.06,0.01,0.12,0.32,0.2,0.34,0.255
"Soil Water Capacity","Hydrology",0.44,0.29,0.19,0.03,0.17,0.21,0.08,0.07,0.06,0.26,0.02,0.29,0.175833333333333
"Subsurface Permeability","Watershed",0.68,0.38,0.1,0.04,0.03,0,0,0,0,0,0.19,0.72,0.178333333333333
"Water Table Depth","Hydrology",0.24,0.12,0.04,0.31,0.66,0.46,0.98,1.46,1.33,1.25,0.18,0.18,0.600833333333333
"Bedrock Depth","Watershed",0.01,0,0.04,0,0.01,0.02,0,0,0,0.05,0.01,0.02,0.0133333333333333
"Watershed Elevation","Watershed",1.81,1.71,1.09,0.83,2.22,2.12,2.06,2.47,1.06,2.3,4,3.12,2.06583333333333
"Watershed Slope","Watershed",0.62,0.92,2.36,10.88,10.97,14,8.28,5.41,4.82,2.76,1.19,0.54,5.22916666666667
"Aspect (Northness)","Watershed",0.03,0,0.01,0.01,0,0,0.12,0.17,0.03,0,0,0.02,0.0325
"Aspect (Eastness)","Watershed",0.01,0.06,0,0.02,0.02,0.11,0.01,0.02,0.19,0.12,0.02,0.04,0.0516666666666667
"Median Monthly Discharge","Hydrology",0,0.01,0,0,0.08,0.05,0.21,0.32,0.09,0.01,0.04,0,0.0675
