"X","Group","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","MeanImp"
"Drainage Area","Hydrology",0.16,0.59,0.46,0.28,0.37,0.21,0.31,0.12,0.21,0.22,0.12,0.4,0.2875
"Annual Precipitation","Climate",0.58,0.41,0.61,0.64,0,0.63,0.68,1.24,1.49,0.91,2.21,0.51,0.825833333333333
"Relative Humidity","Climate",0.37,0.14,0.63,0.78,0.92,0.9,0.29,1.05,1.34,0.41,2.28,0.73,0.82
"Snow Percentage","Hydrology",9.88,10.74,3.92,3.55,4.14,2.54,2.87,1.3,2.25,12.78,8.11,7.82,5.825
"Precipitation Seasonality","Climate",0.97,0.67,2.03,2.24,1.1,0.45,4.4,1.88,1.23,7.46,6.18,1.63,2.52
"Montly Precipitation","Climate",1.17,0.68,0.29,4.53,0.29,0.7,0.24,1.05,0.44,0.02,0.37,0.49,0.855833333333333
"Monthly Air Temp.","Climate",49.66,38.96,28.62,1.31,7.02,3.47,3.56,2.02,0.76,1.01,18.24,44.45,16.59
"Baseflow Index","Hydrology",1.11,1.08,0.37,2.23,5.21,2.98,2.09,1.75,2.42,8.16,7.25,2.64,3.1075
"Dam Storage","Human",18.1,30.32,39.75,63.91,64.64,73.59,68.07,66.64,71.52,46.11,35.04,18.57,49.6883333333333
"Forest LC","Watershed",1.4,0.66,2.39,5.55,0.23,0,0,0.04,2.13,0.38,0.36,3.41,1.37916666666667
"Agricultural LC","Human",0.42,0.26,0.37,4.03,1.57,0.54,0.07,1.24,1.54,1.42,0.64,0.85,1.07916666666667
"Wetland LC","Hydrology",1.23,1.06,2.38,0.59,2.98,0.9,0.43,0.73,1.17,1.8,0.29,0.99,1.2125
"Riparian Forest LC","Watershed",0,0.1,0.3,0.33,0.18,0,0.35,0.16,0.55,0,0.04,0,0.1675
"Impervious LC","Human",10.43,9.92,10.48,4.85,3.15,9.08,4.58,13.23,2.88,2.56,6.98,12.99,7.59416666666667
"Soil Water Capacity","Hydrology",0.22,0.32,0.25,0.78,1.16,0,0,0,0,0.43,0,0.06,0.268333333333333
"Subsurface Permeability","Watershed",0.72,0.8,0.42,0.62,0.01,1.16,5.48,1.36,2.84,0,4.66,1.13,1.6
"Water Table Depth","Hydrology",0.6,0.36,0.29,1.7,2.76,0.29,0,0.3,0,4.55,1.03,0.5,1.03166666666667
"Bedrock Depth","Watershed",0.75,0.43,0.01,0.05,0,0.06,1.43,0.45,1.13,0.68,0.21,0.5,0.475
"Watershed Elevation","Watershed",0.54,0.31,0.61,0.44,1.98,0.46,2.77,1.16,0.54,2.17,0.78,0.83,1.04916666666667
"Watershed Slope","Watershed",0.18,0.2,0.22,0.1,1.62,0.3,0.81,0.68,0.16,4.35,0.32,0.07,0.750833333333333
"Aspect (Northness)","Watershed",0.15,0.05,0.84,0.22,0.62,0,0.07,0.37,1.09,0.78,0.63,0,0.401666666666667
"Aspect (Eastness)","Watershed",1.31,1.59,2.98,1.24,0.04,1.12,1.37,2.4,3.33,2.66,3.63,0.68,1.8625
"Median Monthly Discharge","Hydrology",0.05,0.36,1.77,0.03,0,0.63,0.14,0.84,0.99,1.16,0.6,0.77,0.611666666666667
