"X","Group","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","MeanImp"
"Drainage Area","Hydrology",0.38,0.13,1.48,0.41,1.21,1.61,3.52,3.09,8.07,0.89,2.72,2.85,2.19666666666667
"Annual Precipitation","Climate",0.35,0.24,2.54,4.51,0.99,11.35,5.25,5.92,16.19,1.8,3.3,0.59,4.41916666666667
"Relative Humidity","Climate",0.05,0.16,0.09,0.15,0.06,0,0,0.12,0.05,0.31,0.14,0.54,0.139166666666667
"Snow Percentage","Hydrology",22.22,18.85,19.24,6.63,23.7,19.48,11.9,3.42,2.1,14.23,9.5,27.18,14.8708333333333
"Precipitation Seasonality","Climate",2.35,0.53,5.44,9.13,1.92,2.15,0,9.83,22.67,51.27,7.2,0.64,9.4275
"Montly Precipitation","Climate",0.79,0.46,1.71,3.79,1.9,0.85,0.02,6.25,3.66,1.02,0.71,0.18,1.77833333333333
"Monthly Air Temp.","Climate",59.3,64.6,48.57,6.42,22.12,5.36,1.3,3.88,0.34,0.67,26.75,45.34,23.7208333333333
"Baseflow Index","Hydrology",0.19,2,1.75,2.78,4.06,20.92,48.18,18.4,24.57,4.56,11.23,3.84,11.8733333333333
"Dam Storage","Human",0.02,0.08,0.32,0.76,0.47,2.32,3.15,0.53,1.36,0.07,0.17,0,0.770833333333333
"Forest LC","Watershed",1.67,1.58,0.78,1.27,0.19,0,0,0,0,0.49,2.71,1.21,0.825
"Agricultural LC","Human",0.25,0.38,3.47,2.51,0.62,0.67,0.89,1.69,0.67,1.26,0.49,0.1,1.08333333333333
"Wetland LC","Hydrology",0.89,0.5,0.56,0.66,0.47,0.09,0,0.27,0,0.91,0.96,0.94,0.520833333333333
"Riparian Forest LC","Watershed",0,0.06,0.1,1,0.18,0,0,0,0,0.18,0,0.12,0.136666666666667
"Impervious LC","Human",6.01,4.37,2.98,1.13,0.37,0.14,4.92,0,0,0.71,6.48,6.66,2.81416666666667
"Soil Water Capacity","Hydrology",0.3,0.24,0.18,8.87,4.62,6.79,0,0.23,0.98,0.39,3.64,0.58,2.235
"Subsurface Permeability","Watershed",0.3,0.04,0.1,0.07,2.13,0.89,0,0.59,0.52,0.48,0.88,1.13,0.594166666666667
"Water Table Depth","Hydrology",0.13,0.37,0.57,3.87,0.12,2.93,2.78,4.48,10.98,3.79,0.82,0.57,2.6175
"Bedrock Depth","Watershed",0.92,1,0.43,0.54,3.3,0.05,13.37,0,1.46,0.7,2.55,0.67,2.0825
"Watershed Elevation","Watershed",1.23,1.54,0.93,6.63,5.66,14.13,2.16,7.53,1.03,3.23,12.18,3.59,4.98666666666667
"Watershed Slope","Watershed",0.52,0.93,5.05,38.63,25.12,9.31,2.56,28.18,2.41,9.84,3.4,0.4,10.5291666666667
"Aspect (Northness)","Watershed",0,0.06,0.14,0,0,0.01,0,0,0.32,0,0,0.05,0.0483333333333333
"Aspect (Eastness)","Watershed",0.93,0.22,0.09,0,0.52,0.65,0,0.27,1.92,1.22,0.82,0.25,0.574166666666667
"Median Monthly Discharge","Hydrology",1.2,1.69,3.48,0.23,0.29,0.31,0,5.32,0.72,2,3.36,2.58,1.765
