"X","Group","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","MeanImp"
"Drainage Area","Hydrology",0.62,0.18,0.34,0.22,0.15,1.79,1.13,0.45,1.03,0.97,0.04,0.23,0.595833333333333
"Annual Precipitation","Climate",1.12,1.47,7,7.17,0.99,0.85,2.15,2.73,5.29,2.82,1.99,0.6,2.84833333333333
"Relative Humidity","Climate",0.08,0.02,0.49,0.17,0,0,0,0,0,0.34,0.38,0.32,0.15
"Snow Percentage","Hydrology",45.81,47.35,22.33,21.2,21.3,23.03,26.56,31.58,42.38,34.46,38.44,31.5,32.1616666666667
"Precipitation Seasonality","Climate",1.3,1.01,0.53,0.32,0.18,0,0,0,0.36,0.13,0.55,0.74,0.426666666666667
"Montly Precipitation","Climate",1.82,3.8,2.25,4.44,1.3,0.56,1.4,2.25,2.01,3.93,4.49,1.73,2.49833333333333
"Monthly Air Temp.","Climate",33.74,24.79,15.8,16.72,50.21,55.81,33.52,29.33,15.21,32.67,34.84,42.52,32.0966666666667
"Baseflow Index","Hydrology",0.37,0.15,0.18,0.17,0.12,0.07,2.65,4.79,2.59,0.49,0.28,0,0.988333333333333
"Dam Storage","Human",0,0.03,0.06,0.05,0.13,1.1,7.79,6.04,0,1.32,0.05,0.04,1.38416666666667
"Forest LC","Watershed",0.9,3.52,4.53,5.87,2.93,0.27,0,0,0.1,0.18,1.25,2.76,1.85916666666667
"Agricultural LC","Human",0.25,0.39,2.64,4.09,4.17,9.31,17.55,11.22,9.98,1.53,0.45,0.07,5.1375
"Wetland LC","Hydrology",0,0,0.2,0.37,0.61,0.27,0.24,0.83,0.98,0.17,0.06,0,0.310833333333333
"Riparian Forest LC","Watershed",2.05,4.21,25.09,22.46,4.3,1.83,0.94,0.25,0.95,8.32,5.75,5.97,6.84333333333333
"Impervious LC","Human",0.06,0.14,1,1.07,2.05,1.36,1.01,0.58,0,0.08,0,0.11,0.621666666666667
"Soil Water Capacity","Hydrology",2.69,2.18,0.07,0.07,0.07,0.06,0.06,0.11,0,0.73,3.57,2.25,0.988333333333333
"Subsurface Permeability","Watershed",0.01,0.24,0.12,0.29,0.02,0.82,3.51,8.96,17.49,6.75,1.85,0.02,3.34
"Water Table Depth","Hydrology",0,0,0.03,0.15,0.2,0.53,0.02,0.04,0.01,0,0.01,0.01,0.0833333333333333
"Bedrock Depth","Watershed",0.04,0.04,0,0,0,0,0,0,0,0.16,0.06,0.02,0.0266666666666667
"Watershed Elevation","Watershed",5.08,3.58,0.57,0.8,1.58,1.11,0.78,0.85,0.78,2.98,5.27,7.74,2.59333333333333
"Watershed Slope","Watershed",3.93,6.68,16.69,14.23,9.61,0.92,0,0,0.07,0,0.07,3.01,4.60083333333333
"Aspect (Northness)","Watershed",0,0.02,0,0,0.07,0,0,0,0.67,0.78,0.19,0,0.144166666666667
"Aspect (Eastness)","Watershed",0,0.03,0.09,0.1,0,0,0,0,0.11,0,0.36,0,0.0575
"Median Monthly Discharge","Hydrology",0.11,0.19,0,0.04,0,0.32,0.7,0,0,1.15,0.05,0.34,0.241666666666667
