"X","Group","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","MeanImp"
"Drainage Area","Hydrology",0,0,0,0,0.83,0,0,0,0,0,0.02,0,0.0708333333333333
"Annual Precipitation","Climate",0,0,0.04,0,0,0,0,0,0,0,0.04,0,0.00666666666666667
"Relative Humidity","Climate",0,0,0,0,8.21,0.34,0,0.31,0.38,0.73,0.13,0,0.841666666666667
"Snow Percentage","Hydrology",48.58,47,28.08,0,0,0.56,0.54,0.9,0.01,0.87,0.48,40.24,13.9383333333333
"Precipitation Seasonality","Climate",0,0.01,0.03,6.67,0,0.84,0,1.04,1.02,0.32,3.85,0,1.14833333333333
"Montly Precipitation","Climate",0,0,0,0.02,0.58,0.08,0,0,0,0,0.25,0,0.0775
"Monthly Air Temp.","Climate",25.95,26.99,38.07,0.22,0,1.71,0.93,5.62,0.3,1.09,2.66,27.93,10.9558333333333
"Baseflow Index","Hydrology",0.12,0.01,0,0,0,0,0,0,0,0,0,0,0.0108333333333333
"Dam Storage","Human",0.41,0.69,4.86,46.74,85.2,75.51,82.29,73.26,74.95,77.55,33.19,1.28,46.3275
"Forest LC","Watershed",10.14,9.64,7.77,0.11,0,0.03,0.02,0,0.14,0.22,1.08,10,3.2625
"Agricultural LC","Human",0.09,0,0,0,0,0.81,0,0,0.26,0,0.01,0,0.0975
"Wetland LC","Hydrology",0,0,0.02,1.78,0.7,0,0,0.44,0,0.56,0.92,0,0.368333333333333
"Riparian Forest LC","Watershed",0,0,0.01,0,0,0.01,0,0,0,0,0,0,0.00166666666666667
"Impervious LC","Human",8.31,8.71,2.96,0.12,0.45,6.95,8,0.79,7.9,10.92,10.62,12.34,6.50583333333333
"Soil Water Capacity","Hydrology",0,0,0.13,2.36,0,0.22,0.05,1.25,0.54,0.41,3.45,0,0.700833333333333
"Subsurface Permeability","Watershed",0,0,0,0.21,0,0,2.46,1.06,0,0,0,0,0.310833333333333
"Water Table Depth","Hydrology",0,0,0,0.01,0,0,0,0,0,0,0,0.07,0.00666666666666667
"Bedrock Depth","Watershed",0.67,0.41,0.71,1.74,0,0,0.27,0.78,0,0,0.52,0.55,0.470833333333333
"Watershed Elevation","Watershed",4.99,6.14,16.24,25.24,0,12.41,5.44,10.65,11.44,6.18,39.71,6.76,12.1
"Watershed Slope","Watershed",0.66,0.4,0.95,2.89,0,0,0,0,0.1,0.88,2.7,0.82,0.783333333333333
"Aspect (Northness)","Watershed",0,0,0,0,0,0,0,0.09,0,0,0,0,0.0075
"Aspect (Eastness)","Watershed",0,0.01,0.13,11.68,4.02,0.42,0,3.61,0.99,0,0.35,0,1.7675
"Median Monthly Discharge","Hydrology",0.06,0,0,0.22,0,0.13,0,0.19,1.96,0.26,0.01,0,0.235833333333333
